Department Family,Entity,Payment Date,Account Code Description,Cost Centre Description,Supplier,Voucher Number,Publication Description,Amount
HM Treasury,HMT,11/01/2024,Consultancy ,Finance Analytics & Control & Technology,Deloitte LLP,303317,Consultancy," 632,000 "
HM Treasury,HMT,23/01/2024,Consultancy ,Finance Central,UK Infrastructure Bank,311493,Management Fees," 621,000 "
HM Treasury,HMT,25/01/2024,Grants to Private Sector – Non Profit Inst.,Financial Services Director and GMT,"CENTRE FOR FINANCE, INNOVATION AND TECHNOLOGY",312545,Grant costs," 570,914 "
HM Treasury,HMT,04/01/2024,Corp. Subscriptions  and Other Information Services,Finance Analytics & Control & Technology,National Savings and Investments,307432,Help to Buy Costs," 529,770 "
HM Treasury,HMT,15/01/2024,AME Mint Stock Manufacturing Costs,DRM AME Costs,The Royal Mint,307481,UK Coin Contract Costs," 236,352 "
HM Treasury,HMT,04/01/2024,IT Software services and maintenance  Rec,TBS Projects,Green Park Interim & Executive Limited,305593,IT Services," 213,386 "
HM Treasury,HMT,22/01/2024,Legal Services,Other Cases,Government Legal Department ,308558,Legal fees," 197,042 "
HM Treasury,HMT,22/01/2024,Consultancy ,Finance Analytics & Control & Technology,Softcat PLC,307514,IT Services," 191,479 "
HM Treasury,HMT,23/01/2024,Other operating expenditure (misc),European Policy,Bruegel,312506,Subscription Costs," 188,288 "
HM Treasury,HMT,05/01/2024,IT Hardware Services & Maintenance VAT Recoverable,New Tower Services,WIPRO HOLDINGS (UK) LIMITED,305448,IT Services," 183,630 "
HM Treasury,HMT,15/01/2024,IT Software services and maintenance  Rec,TBS Projects,Green Park Interim & Executive Limited,308521,IT Services," 167,460 "
HM Treasury,HMT,16/01/2024,IT Software Services & Maintenance Non VAT Recoverable,New Tower Services,Phoenix Software Ltd,305628,IT Services," 142,305 "
HM Treasury,HMT,24/01/2024,Consultancy ,Finance Performance & Improvement Rechargeable Costs,KPMG LLP,308570,Consultancy," 140,517 "
HM Treasury,DMO,18/01/2024,DMO - Banking Costs,Settlements,Bank of England (FAO FRP HO- 5 & Secondments),308560,Bank Charges," 131,454 "
HM Treasury,HMT,22/01/2024,IT Software services and maintenance  Rec,Oscar II,Deloitte LLP,303316,Professional Services," 111,875 "
HM Treasury,HMT,03/01/2024,IT Hardware Services & Maintenance VAT Recoverable,New Tower Services,NTT DATA UK Ltd,305582,IT Services," 108,351 "
HM Treasury,HMT,03/01/2024,IT Hardware Services & Maintenance VAT Recoverable,New Tower Services,NTT DATA UK Ltd,305586,IT Services," 108,351 "
HM Treasury,DMO,25/01/2024,IT/Office equipment purchase - over £5k,Business Delivery,Storm Technologies Ltd,312544,IT Services," 105,822 "
HM Treasury,HMT,12/01/2024,IT Software services and maintenance  Rec,New Tower Services,NTT DATA UK Ltd,308514,IT Services," 100,727 "
HM Treasury,HMT,12/01/2024,IT Software services and maintenance  Rec,New Tower Services,NTT DATA UK Ltd,308515,IT Services," 100,727 "
HM Treasury,DMO,19/01/2024,DMO - Banking Costs,Dealing,LCH Clearnet Ltd,308577,Gilt Costs," 94,043 "
HM Treasury,UKGI,30/01/2024,Corp. Subscriptions  and Other Information Services,UKGI,Fitch Solutions Limited,312618,Subscription Costs," 93,772 "
HM Treasury,HMT,08/01/2024,Facilities Service Charges Non-recoverable,Office of Financial Sanctions Implementation (OFSI),Bulien LLP,307486,IT Services," 86,340 "
HM Treasury,HMT,03/01/2024,Software Licences - over £5k,TBS Projects,NTT DATA UK Ltd,304265,IT Services," 86,304 "
HM Treasury,DMO,08/01/2024,DMO Market Data Services - 587067,Business Delivery,Refinitiv,307521,Market Data," 84,658 "
HM Treasury,HMT,31/01/2024,Telephony   ,New Tower Services,Cabinet Office,312609,IT Services," 72,000 "
HM Treasury,HMT,03/01/2024,IT Software services and maintenance  Rec,TBS Projects,Centerprise International Ltd,306296,IT Services," 66,135 "
HM Treasury,HMT,23/01/2024,IT Hardware Services & Maintenance VAT Recoverable,New Tower Services,Little Fish (UK) Ltd,305537,IT Services," 62,938 "
HM Treasury,HMT,26/01/2024,IT Hardware Services & Maintenance VAT Recoverable,New Tower Services,Little Fish (UK) Ltd,307424,IT Services," 62,938 "
HM Treasury,HMT,11/01/2024,Internal Training,HR Central Services,Cabinet Office,308478,Internal training," 59,400 "
HM Treasury,HMT,17/01/2024,IT Hardware Services & Maintenance VAT Recoverable,New Tower Services,Centerprise International Ltd,305361,IT Services," 56,178 "
HM Treasury,HMT,24/01/2024,IT Software services and maintenance  Rec,Discretionary Change (Prev: Solutions Del),Centerprise International Ltd,305565,IT Services," 55,402 "
HM Treasury,HMT,11/01/2024,Internal Training,HR Central Services,King's College London,308488,Internal training," 52,000 "
HM Treasury,HMT,29/01/2024,UK Coinage Manufacturing Cost,DRM AME Costs,The Royal Mint,312513,UK Coin Contract Costs," 47,085 "
HM Treasury,HMT,11/01/2024,IT Software services and maintenance  Rec,Correspondence and Information Rights (C&IR),Ceox Services Limited,307483,IT Services," 46,568 "
HM Treasury,HMT,03/01/2024,UK Coinage Manufacturing Cost,DRM AME Costs,The Royal Mint,306305,UK Coin Contract Costs," 45,318 "
HM Treasury,HMT,24/01/2024,"Accounting, Invoicing and Related Services Non Rec","Workforce, Pay and Pensions Team",Government Actuary's Dept,308598,Professional Services," 44,594 "
HM Treasury,UKGI,31/01/2024,Professional Services ,UKGI,Freshfields Bruckhaus Deringer,312631,Professional Services," 41,957 "
HM Treasury,HMT,04/01/2024,Consultancy ,Government Finance Academy Rechargeable Cost,Penna plc,306346,Consultancy," 38,640 "
HM Treasury,HMT,04/01/2024,HTB UKARcs management fee,Help to Buy Operations,National Savings and Investments,307458,Help to Buy Costs," 37,342 "
HM Treasury,HMT,10/01/2024,IT Software services and maintenance  Rec,Correspondence and Information Rights (C&IR),Fivium Limited,307453,IT Services," 35,070 "
HM Treasury,HMT,03/01/2024,Internal Training,HR Central Services,PeopleScout Limited,306376,Recruitment expense," 34,866 "
HM Treasury,HMT,04/01/2024,IT/Office equipment hire and purchase under £5k,TBS Projects,Centerprise International Ltd,307446,IT Services," 33,913 "
HM Treasury,HMT,30/01/2024,Archives & Storage,Knowledge & Information Management,FCDO Services,312552,Records Management," 32,084 "
HM Treasury,HMT,16/01/2024,Consultancy ,European Policy,Government Actuary's Dept,306311,Consultancy," 30,594 "
HM Treasury,NIC,10/01/2024,Rent,NIC OCS,Government Property Agency,303252,Rent," 30,586 "
HM Treasury,HMT,03/01/2024,IT/Office equipment hire and purchase under £5k,New Tower Services,Centerprise International Ltd,305308,IT Services," 28,800 "
HM Treasury,HMT,08/01/2024,IT Software Services & Maintenance Non VAT Recoverable,Finance Analytics & Control & Technology,Softcat PLC,307516,IT Services," 28,647 "
HM Treasury,HMT,09/01/2024,UK Coinage Manufacturing Cost,DRM AME Costs,The Royal Mint,306290,Survey Costs," 27,900 "
HM Treasury,HMT,03/01/2024,UK Coinage Manufacturing Cost,DRM AME Costs,The Royal Mint,306294,Survey Costs," 27,900 "
HM Treasury,HMT,22/01/2024,IT Software services and maintenance  Rec,Finance Analytics & Control & Technology,Softcat PLC,307517,IT Services," 27,056 "
HM Treasury,HMT,10/01/2024,Legal Services,Other Cases,TLT LLP,308458,Legal fees," 26,353 "
HM Treasury,GIAA,23/01/2024,Consultancy ,Governance,HCubed Consulting Ltd,312493,Consultancy," 26,004 "
