Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,02 December 2024," £37,914.28 ",PO00048751,HOMEPROV,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,02 December 2024," £17,415.00 ",PO00048750,HOMEPROV,Purchase order

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,02 December 2024," £13,155.54 ",PO00048739,VEHIC2,Purchase order

Letting International Ltd,Homelessness Provision,02 December 2024," £10,950.00 ",PO00048713,HOMEPROV,Purchase order

LINK CCTV SYSTEMS,CCTV,02 December 2024," £8,320.27 ",PO00048721,CCTV,Purchase order

Witham Forge Limited,Sports Equipment,02 December 2024," £6,780.00 ",PO00048727,SPORT2,Purchase order

London International Arts Theatre Limited,Performing Arts,02 December 2024," £5,661.79 ",PO00048753,PERFORM,Purchase order

LIVE NATION (MUSIC) UK LTD,Performing Arts,02 December 2024," £4,412.70 ",PO00048756,PERFORM,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,02 December 2024," £3,710.00 ",PO00048734,HOMEPROV,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,02 December 2024," £2,875.00 ",PO00048718,CLEAN2,Purchase order

ASHE GREEN CIVIL ENGINEERS LTD,Maintenance,02 December 2024," £2,724.28 ",PO00048720,OSREPAIR,Purchase order

PALL MALL PREMIER CARS,Vehicle Hire,02 December 2024," £2,047.00 ",PO00048731,VEHIC5,Purchase order

ERNEST DOE & SONS LTD,Vehicle Maintenance,02 December 2024," £1,831.45 ",PO00048757,VEHIC8,Purchase order

BARCLAYCARD,Banking,02 December 2024," £1,700.00 ",,FIN2,Direct Debit

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,02 December 2024," £1,413.48 ",PO00048741,VEHIC2,Purchase order

TELESHORE UK LTD,Crematorium Equipment,02 December 2024," £1,368.00 ",PO00048722,CREM1,Purchase order

Potter Raper Ltd,Consultancy,02 December 2024," £1,000.00 ",PO00048743,CONSULT,Purchase order

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,02 December 2024, £782.00 ,PO00048740,VEHIC2,Purchase order

LONGFIELD MEDIA LTD,Promotional Advertising,02 December 2024, £695.00 ,PO00048712,ADVRT1,Purchase order

TMP (UK) LTD,Statutory Advertising,02 December 2024, £556.95 ,PO00048746,ADVRT2,Purchase order

REDACTED,Performing Arts,02 December 2024, £556.79 ,PO00048754,PERFORM,Purchase order

BRENTWOOD COMMUNICATIONS LTD,Performing Arts,02 December 2024, £473.00 ,PO00048744,PERFORM,Purchase order

Montrose Trees,Tree Management Services,02 December 2024, £400.00 ,PO00048736,TREE,Purchase order

TMP (UK) LTD,Statutory Advertising,02 December 2024, £382.65 ,PO00048747,ADVRT2,Purchase order

ESSEX SUPPLIES (UK) LTD,Cleaning Supplies,02 December 2024, £352.88 ,PO00048724,CLEAN1,Purchase order

ATE (UK) LIMITED,Vehicles Parts,02 December 2024, £334.95 ,PO00048735,VEHIC7,Purchase order

I-SEE ACCESS SOLUTIONS,Building Repairs,02 December 2024, £320.00 ,PO00048729,BUILD07,Purchase order

A E SIMMONS LTD,Stationary,02 December 2024, £297.00 ,PO00048733,STAT1,Purchase order

TMP (UK) LTD,Statutory Advertising,02 December 2024, £266.45 ,PO00048752,ADVRT2,Purchase order

PROPERTY STOP,Homelessness Provision,03 December 2024," £28,390.00 ",PO00048786,HOMEPROV,Purchase order

PROPERTY STOP,Homelessness Provision,03 December 2024," £28,385.00 ",PO00048785,HOMEPROV,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,03 December 2024," £8,606.07 ",PO00048763,CLEAN2,Purchase order

VIVEDIA LTD,Crematorium Equipment,03 December 2024," £4,092.00 ",PO00048822,CREM1,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,03 December 2024," £3,955.00 ",PO00048818,HR2,Purchase order

CENTENNIAL PROPERTY LTD T/A RENT CONNECT,Homelessness Provision,03 December 2024," £3,154.80 ",PO00048794,HOMEPROV,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,03 December 2024," £2,664.00 ",PO00048819,HR2,Purchase order

ESSEX COUNTY COUNCIL,Legal Advice,03 December 2024," £2,381.07 ",PO00048807,LEGAL4,Purchase order

NEWLYN,Parking Fines Collection,03 December 2024," £2,198.04 ",PO00048769,FINES,Purchase order

BOOKER LTD,Bar Stock,03 December 2024," £1,663.74 ",,CAT2,Direct Debit

AUTO JET,Vehicle Maintenance,03 December 2024," £1,625.00 ",PO00048777,VEHIC8,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,03 December 2024," £1,595.00 ",PO00048762,CLEAN2,Purchase order

AUTO JET,Vehicle Maintenance,03 December 2024," £1,460.00 ",PO00048771,VEHIC8,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,03 December 2024," £1,278.16 ",PO00048764,CAT2,Purchase order

I Picture This,Museums & Galleries,03 December 2024," £1,200.00 ",PO00048808,MUSEUM,Purchase order

CHELMSFORD IMPROVEMENT DISTRICT LIMITED,Community Grants,03 December 2024," £1,000.00 ",PO00048821,GRANTS,Purchase order

BIRKETTS LLP,Property Management,03 December 2024, £954.17 ,PO00048788,PROP4,Purchase order

PRINTED EASY LETCHWORTH GA,,03 December 2024, £910.00 ,,,Procurement card

FACEBK  DQ82WDCZ52 FB.ME/ADS,,03 December 2024, £700.00 ,,,Procurement card

AUTO JET,Vehicle Maintenance,03 December 2024, £610.00 ,PO00048778,VEHIC8,Purchase order

RICS - Membership,,03 December 2024, £558.00 ,,,Procurement card

EQUITA LTD,Parking Fines Collection,03 December 2024, £537.89 ,PO00048770,FINES,Purchase order

1STLOCATE T/A LCS LEEDS,,03 December 2024, £513.99 ,,,Procurement card

VIP SECURITY (ESSEX) LTD,Security Personnel,03 December 2024, £513.38 ,PO00048761,SECUR4,Purchase order

Shaws signage and equipment,,03 December 2024, £506.76 ,,,Procurement card

W & H ROMAC LTD,Signage - Highway,03 December 2024, £483.06 ,PO00048824,SIGN4,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048795,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048796,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048797,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048798,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048799,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048800,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048801,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048802,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048803,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048804,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048805,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03 December 2024, £420.00 ,PO00048806,HOMEPROV,Purchase order

D. BYFORD & SONS COLCHESTER CO,,03 December 2024, £396.84 ,,,Procurement card

D. BYFORD & SONS COLCHESTER CO,,03 December 2024, £394.86 ,,,Procurement card

BARCLAYCARD,Banking,03 December 2024, £393.00 ,,FIN2,Direct Debit

THE BIG WORD GROUP (LEEDS),Homelessness Provision,03 December 2024, £351.42 ,PO00048815,HOMEPROV,Purchase order

SP AURORA WORLD UK BASINGSTOKE,,03 December 2024, £319.60 ,,,Procurement card

PRINTED EASY LETCHWORTH GA,,03 December 2024, £291.00 ,,,Procurement card

SP AURORA WORLD UK BASINGSTOKE,,03 December 2024, £271.66 ,,,Procurement card

W & H ROMAC LTD,Signage - Highway,03 December 2024, £251.13 ,PO00048823,SIGN4,Purchase order

Spirit Of Ukraine LTD,Homelessness Provision,03 December 2024, £250.00 ,PO00048766,HOMEPROV,Purchase order

CHELMSFORD PEST CONTROL,Pest Control,03 December 2024, £250.00 ,PO00048816,PEST,Purchase order

Replacment Defib pads for reception defib,,03 December 2024, £246.00 ,,,Procurement card

ONE FROM THE HEART,Performing Arts,04 December 2024," £54,443.57 ",PO00048863,PERFORM,Purchase order

Nickolds Property Management,Homelessness Provision,04 December 2024," £39,171.78 ",PO00048866,HOMEPROV,Purchase order

ESSEX RECLAMATION,Recycling Services,04 December 2024," £20,774.88 ",PO00048841,RECYCL1,Purchase order

Nickolds Property Management,Homelessness Provision,04 December 2024," £9,800.00 ",PO00048832,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,04 December 2024," £9,740.00 ",PO00048828,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,04 December 2024," £9,730.00 ",PO00048830,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,04 December 2024," £9,640.00 ",PO00048831,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,04 December 2024," £9,095.00 ",PO00048834,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,04 December 2024," £8,750.00 ",PO00048829,HOMEPROV,Purchase order

PARK AVENUE RECRUITMENT LIMITED,Temporary Staff,04 December 2024," £6,067.00 ",PO00048849,HR2,Purchase order

IFZW Maintenance LTD,Crematorium Maintenance,04 December 2024," £4,767.40 ",PO00048869,CREM2,Purchase order

Voicescape Limited,Debt Collection & Recovery,04 December 2024," £3,456.00 ",PO00048843,DEBT,Purchase order

TRAVELERS INSURANCE COMPANY LTD,Insurance,04 December 2024," £2,500.00 ",PO00048847,INSURE,Purchase order

PARK AVENUE RECRUITMENT LIMITED,Temporary Staff,04 December 2024," £1,875.00 ",PO00048850,HR2,Purchase order

FREEDOM COMMUNICAT,Telecoms,04 December 2024," £1,630.21 ",,DIGIT8,Direct Debit

COMP VOUCHER SERV,Subscriptions,04 December 2024," £1,298.84 ",,SUBS,Direct Debit

MARSTON HOLDING LIMITED,Parking Fines Collection,04 December 2024," £1,137.47 ",PO00048826,FINES,Purchase order

LAMPWICK CARE LIMITED,Homelessness Provision,04 December 2024," £1,035.00 ",PO00048855,HOMEPROV,Purchase order

LAMPWICK CARE LIMITED,Homelessness Provision,04 December 2024, £986.79 ,PO00048854,HOMEPROV,Purchase order

REDACTED,Temporary Staff,04 December 2024, £867.00 ,PO00048861,HR2,Purchase order

VANITORIALS LTD,Cleaning Supplies,04 December 2024, £865.64 ,PO00048864,CLEAN1,Purchase order

LIVE NATION (MUSIC) UK LTD,Performing Arts,04 December 2024, £726.18 ,PO00048848,PERFORM,Purchase order

LASER ELECTRICAL SERVICES LTD,Building Repairs,04 December 2024, £639.23 ,PO00048852,BUILD07,Purchase order

MARSTON HOLDING LIMITED,Debt Collection & Recovery,04 December 2024, £474.71 ,PO00048846,DEBT,Purchase order

BALM & DAVIES LTD,Building Repairs,04 December 2024, £453.00 ,PO00048833,BUILD07,Purchase order

New Hope Rentals,Homelessness Provision,04 December 2024, £420.00 ,PO00048868,HOMEPROV,Purchase order

Benton Street Trees and Gardens,Property Maintenance,04 December 2024, £350.00 ,PO00048865,PROP3,Purchase order

GCI NETWORK SOLUTI,Telecoms,04 December 2024, £330.40 ,,DIGIT8,Direct Debit

ESSEX COUNTY COUNCIL,Legal Advice,04 December 2024, £308.00 ,PO00048851,LEGAL4,Purchase order

REDACTED,Temporary Staff,04 December 2024, £296.50 ,PO00048862,HR2,Purchase order

ERNEST DOE & SONS LTD,Vehicles Parts,04 December 2024, £282.99 ,PO00048844,VEHIC7,Purchase order

VIP SECURITY (ESSEX) LTD,Temporary Staff,04 December 2024, £275.25 ,PO00048860,HR2,Purchase order

REDACTED,Temporary Staff,04 December 2024, £253.00 ,PO00048835,HR2,Purchase order

WILLIAM DE FERRERS SCHOOL (POOL GAS),Gas (Utility),05 December 2024," £16,636.81 ",PO00048902,GAS,Purchase order

WILLIAM DE FERRERS SCHOOL (POOL GAS),Electricity (Utility),05 December 2024," £8,594.94 ",PO00048901,ELEC,Purchase order

 CPM:Digital,Printing & Reprographic Services - External,05 December 2024," £2,463.00 ",PO00048905,PRINT,Purchase order

M & P DUNN LTD,Property Maintenance,05 December 2024," £2,441.65 ",PO00048915,PROP3,Purchase order

CAPITA BUSINESS SERVICES LTD,Digital Leases,05 December 2024," £2,359.98 ",PO00048878,DIGIT1,Purchase order

CAPITA BUSINESS SERVICES LTD,Digital Leases,05 December 2024," £2,268.97 ",PO00048879,DIGIT1,Purchase order

ECLIPSE SECURITY UK LTD,Security Personnel,05 December 2024," £1,650.00 ",PO00048881,SECUR4,Purchase order

IRRV SERVICES LTD,Subscriptions,05 December 2024," £1,615.00 ",PO00048914,SUBS,Purchase order

ROYAL MAIL WEST TE,Postage,05 December 2024," £1,115.45 ",,MAIL1,Direct Debit

SPALDINGS (UK) LIMITED,Vehicle Tools and Equipment,05 December 2024," £1,042.00 ",PO00048910,VEHIC10,Purchase order

LINK CCTV SYSTEMS,CCTV,05 December 2024," £1,033.81 ",PO00048884,CCTV,Purchase order

Look Custom UK Ltd,Crematorium Equipment,05 December 2024, £972.25 ,PO00048913,CREM1,Purchase order

POSITIVE WASTE SOLUTIONS LTD,Street Cleaning Services,05 December 2024, £920.25 ,PO00048885,CLEAN5,Purchase order

REDACTED,Events,05 December 2024, £750.00 ,PO00048892,EVENTS,Purchase order

HAYS MONTROSE,Temporary Staff,05 December 2024, £646.40 ,PO00048898,HR2,Purchase order

Bring Your Own Baby Comedy Limited,Performing Arts,05 December 2024, £550.00 ,PO00048909,PERFORM,Purchase order

New Hope Rentals,Homelessness Provision,05 December 2024, £420.00 ,PO00048893,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,05 December 2024, £420.00 ,PO00048894,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,05 December 2024, £420.00 ,PO00048895,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,05 December 2024, £420.00 ,PO00048896,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,05 December 2024, £420.00 ,PO00048897,HOMEPROV,Purchase order

Forfront ltd.,Subscriptions,05 December 2024, £415.40 ,PO00048908,SUBS,Purchase order

ROYAL MAIL WEST TE,Postage,05 December 2024, £250.00 ,,MAIL1,Direct Debit

Stef & Philips Ltd,Homelessness Provision,06 December 2024," £9,577.50 ",PO00048932,HOMEPROV,Purchase order

GRAPE PASSIONS LTD,Bar Stock,06 December 2024," £7,791.81 ",,CAT2,Direct Debit

BT,Telecommunitcations,06 December 2024," £6,513.70 ",PO00048963,DIGIT8,Purchase order

SPECIALIST BATHROOMS & PROPERTY SERVICES LIMITED,DFGS Grant,06 December 2024," £5,920.00 ",PO00048960,DFGS,Purchase order

ACCENT WIRE LIMITED,Recycling Services,06 December 2024," £3,966.60 ",PO00048949,RECYCL1,Purchase order

MANSARD ROOFING LTD,Building Repairs,06 December 2024," £2,937.91 ",PO00048937,BUILD07,Purchase order

Trafalgar Cleaning Equipment Limited,Vehicle Maintenance,06 December 2024," £1,895.00 ",PO00048920,VEHIC8,Purchase order

Innovatise GmbH,Software,06 December 2024," £1,620.15 ",PO00048979,LICENCE,Purchase order

AUTO JET,Vehicle Maintenance,06 December 2024," £1,230.00 ",PO00048939,VEHIC8,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,06 December 2024," £1,209.50 ",PO00048964,CAT2,Purchase order

AUTO JET,Vehicle Maintenance,06 December 2024," £1,140.00 ",PO00048940,VEHIC8,Purchase order

ESSEX COUNTY COUNCIL,Recruitment Services,06 December 2024," £1,036.00 ",PO00048933,HR1,Purchase order

GRANGE EUROPE LTD T/A THE HYGIENE COMPANY,Cleaning Supplies,06 December 2024, £800.00 ,PO00048978,CLEAN1,Purchase order

RE-GEN,Building Repairs,06 December 2024, £755.00 ,PO00048980,BUILD07,Purchase order

SAFETY-KLEEN UK LTD,Recycling Services,06 December 2024, £703.74 ,PO00048931,RECYCL1,Purchase order

ANGLIAN WATER,Water (Utility),06 December 2024, £618.22 ,PO00048930,WATER,Purchase order

MONA INCE T/A MONA MARNELL GLASS,Events,06 December 2024, £517.44 ,PO00048953,EVENTS,Purchase order

Sunbelt Rentals Limited,Street & Traffic Mgt Planning,06 December 2024, £512.50 ,PO00048975,TRAFF3,Purchase order

BALM & DAVIES LTD,Property Maintenance,06 December 2024, £488.50 ,PO00048917,PROP3,Purchase order

LASER ELECTRICAL SERVICES LTD,Building Repairs,06 December 2024, £449.00 ,PO00048974,BUILD07,Purchase order

LASER ELECTRICAL SERVICES LTD,Building Repairs,06 December 2024, £425.95 ,PO00048959,BUILD07,Purchase order

 HYDRAQUIP HOSE & HYDRAULICS,Vehicle Maintenance,06 December 2024, £412.59 ,PO00048944,VEHIC8,Purchase order

DENNIS EAGLE LTD,Vehicles Parts,06 December 2024, £389.54 ,PO00048948,VEHIC7,Purchase order

ESSEX SUPPLIES (UK) LTD,Cleaning Services - External,06 December 2024, £376.00 ,PO00048923,CLEAN2,Purchase order

DENNIS EAGLE LTD,Vehicles Parts,06 December 2024, £356.72 ,PO00048947,VEHIC7,Purchase order

REDACTED,Events,06 December 2024, £332.65 ,PO00048970,EVENTS,Purchase order

THE ANGLIA SIGN CASTING LTD,Crematorium Equipment,06 December 2024, £327.74 ,PO00048952,CREM1,Purchase order

LASER ELECTRICAL SERVICES LTD,Building Repairs,06 December 2024, £323.33 ,PO00048928,BUILD07,Purchase order

 HYDRAQUIP HOSE & HYDRAULICS,Vehicle Maintenance,06 December 2024, £311.50 ,PO00048943,VEHIC8,Purchase order

W & H ROMAC LTD,Signage - Highway,06 December 2024, £307.23 ,PO00048921,SIGN4,Purchase order

TELEFONICA O2 UK LTD,Mobile Devices,06 December 2024, £259.00 ,PO00048957,DIGIT9,Purchase order

MOUNTFIELD SERVICES,DFGS Grant,09 December 2024," £4,895.00 ",PO00048994,DFGS,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,09 December 2024," £3,710.00 ",PO00049013,HOMEPROV,Purchase order

BIRKETTS LLP,Property Management,09 December 2024," £2,000.00 ",PO00049018,PROP4,Purchase order

WOBURN CHEMICALS,Chemicals,09 December 2024," £1,918.50 ",PO00048996,CHEM,Purchase order

Fulcrum Talent,Performing Arts,09 December 2024," £1,416.50 ",PO00049027,PERFORM,Purchase order

LAW ABSOLUTE,Temporary Staff,09 December 2024," £1,395.00 ",PO00048988,HR2,Purchase order

LAW ABSOLUTE,Temporary Staff,09 December 2024," £1,395.00 ",PO00048989,HR2,Purchase order

PARTNERS BY DESIGN,Website,09 December 2024," £1,250.00 ",PO00048987,WEBSITE,Purchase order

RELAY LTD,Building Repairs,09 December 2024, £789.00 ,PO00049020,BUILD07,Purchase order

HAYS MONTROSE,Temporary Staff,09 December 2024, £714.84 ,PO00048992,HR2,Purchase order

JOHN WICKS ENGINEERING,Sports Equipment,09 December 2024, £624.00 ,PO00049012,SPORT2,Purchase order

EAST OF ENGLAND LOCAL GOVERNMENT ASSOCIATION,Software,09 December 2024, £400.00 ,PO00048993,DIGIT7,Purchase order

ESSEX SUPPLIES (UK) LTD,Cleaning Supplies,09 December 2024, £392.62 ,PO00049026,CLEAN1,Purchase order

TMP (UK) LTD,Statutory Advertising,09 December 2024, £295.50 ,PO00049017,ADVRT2,Purchase order

CHELMSFORD AUTO ELECTRIC LTD,Vehicles Parts,09 December 2024, £278.60 ,PO00049010,VEHIC7,Purchase order

NEW ERA FUELS LIMITED,Fuel,10 December 2024," £34,778.65 ",PO00049029,FUEL1,Purchase order

HAYS MONTROSE,Temporary Staff,10 December 2024," £21,038.83 ",PO00049031,HR2,Purchase order

BARCLAYCARD,Banking,10 December 2024," £13,127.75 ",,FIN2,Direct Debit

AC ENTERTAINMENT TECHNOLOGIES LTD,Performing Arts,10 December 2024," £11,159.60 ",PO00049084,PERFORM,Purchase order

HAYS MONTROSE,Temporary Staff,10 December 2024," £11,109.87 ",PO00049030,HR2,Purchase order

Nickolds Property Management,Homelessness Provision,10 December 2024," £9,730.00 ",PO00049038,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,10 December 2024," £9,425.00 ",PO00049036,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,10 December 2024," £9,415.00 ",PO00049037,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,10 December 2024," £9,220.00 ",PO00049041,HOMEPROV,Purchase order

Knight Kavanagh & Page Ltd,Consultancy,10 December 2024," £8,816.55 ",PO00049028,CONSULT,Purchase order

Nickolds Property Management,Homelessness Provision,10 December 2024," £8,750.00 ",PO00049039,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,10 December 2024," £7,875.00 ",PO00049033,HOMEPROV,Purchase order

MOBILITY SOLUTIONS (SOUTH) LIMITED,DFGS Grant,10 December 2024," £5,000.00 ",PO00049067,DFGS,Purchase order

SHELL U.K. LIMITED,Fuel,10 December 2024," £2,715.73 ",,FUEL1,Direct Debit

FENN WRIGHT,Consultancy,10 December 2024," £2,712.50 ",PO00049092,CONSULT,Purchase order

MOBILITY SOLUTIONS (SOUTH) LIMITED,DFGS Grant,10 December 2024," £2,470.00 ",PO00049079,DFGS,Purchase order

PALL MALL PREMIER CARS,Vehicle Hire,10 December 2024," £2,072.00 ",PO00049090,VEHIC5,Purchase order

WiFi Wars Ltd,Performing Arts,10 December 2024," £1,892.66 ",PO00049093,PERFORM,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 December 2024," £1,534.50 ",PO00049050,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 December 2024," £1,534.50 ",PO00049053,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 December 2024," £1,534.50 ",PO00049054,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 December 2024," £1,534.50 ",PO00049055,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 December 2024," £1,534.50 ",PO00049056,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 December 2024," £1,534.50 ",PO00049057,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 December 2024," £1,534.50 ",PO00049058,HOMEPROV,Purchase order

BOOKER LTD,Bar Stock,10 December 2024," £1,422.18 ",,CAT2,Direct Debit

I-SEE ACCESS SOLUTIONS,Building Repairs,10 December 2024," £1,200.00 ",PO00049049,BUILD07,Purchase order

TRAVELODG TRAVELODGE,,10 December 2024," £1,143.61 ",,,Procurement card

LAMPWICK CARE LIMITED,Homelessness Provision,10 December 2024," £1,136.79 ",PO00049034,HOMEPROV,Purchase order

TRAVELODG TRAVELODGE,,10 December 2024," £1,016.29 ",,,Procurement card

LAMPWICK CARE LIMITED,Homelessness Provision,10 December 2024, £935.00 ,PO00049035,HOMEPROV,Purchase order

PRINTED EASY LETCHWORTH GA,,10 December 2024, £866.00 ,,,Procurement card

UK Pickleball Shop,Sports Equipment,10 December 2024, £804.00 ,PO00049088,SPORT2,Purchase order

WATLING JCB LTD,Vehicle Maintenance,10 December 2024, £709.46 ,PO00049063,VEHIC8,Purchase order

HAYS MONTROSE,Temporary Staff,10 December 2024, £681.73 ,PO00049078,HR2,Purchase order

WATLING JCB LTD,Vehicle Maintenance,10 December 2024, £681.64 ,PO00049064,VEHIC8,Purchase order

HB COMMERCIAL LTD,Vehicles Parts,10 December 2024, £674.98 ,PO00049062,VEHIC7,Purchase order

FACEBK  HSZNZG4AK2 FB.ME/ADS,,10 December 2024, £622.05 ,,,Procurement card

REDACTED,Design,10 December 2024, £500.00 ,PO00049042,ADVRT3,Purchase order

New Hope Rentals,Homelessness Provision,10 December 2024, £420.00 ,PO00049075,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,10 December 2024, £420.00 ,PO00049076,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,10 December 2024, £420.00 ,PO00049077,HOMEPROV,Purchase order

FACEBK  NFAKPDUY52 DUBLIN,,10 December 2024, £382.76 ,,,Procurement card

MERRIDALE MIS FUEL MONITORING LTD,Subscriptions,10 December 2024, £365.00 ,PO00049040,SUBS,Purchase order

HIGHLINE ROADMARKINGS LTD,Signage - Highway,10 December 2024, £351.78 ,PO00049071,SIGN4,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 December 2024, £330.00 ,PO00049069,HOMEPROV,Purchase order

ACCESSABLE HITCHIN,,10 December 2024, £315.00 ,,,Procurement card

