Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Subjective Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,22501,Rent,,44799.041666666664,655,655,655
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,24001,Water,South West Water Ltd,44796.041666666664,1025.37,1025.37,1025.37
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,42001,Catering - Provisions,Booker Ltd,44782.041666666664,201.71,1137.37,1097.03
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,42001,Catering - Provisions,Booker Ltd,44782.041666666664,895.32,1137.37,1097.03
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,42001,Catering - Provisions,Mike Benney Butchers Ltd,44775.041666666664,1325.1,1325.1,1325.1
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,42001,Catering - Provisions,Mike Benney Butchers Ltd,44791.041666666664,1551.86,1551.86,1551.86
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,42001,Catering - Provisions,Westcountry Fruit Sales Ltd,44799.041666666664,588.45,588.45,588.45
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,31603,Other Public Transport,Tresco Estate,44789.041666666664,1792,1792,1792
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44782.041666666664,703.69,703.69,703.69
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,44803.041666666664,1905.32,1905.32,1905.32
51 Council of the Isles of Scilly,Community,Childrens Services,600121,Home to School Transport,31603,Other Public Transport,Tresco Estate,44789.041666666664,3213,3213,3213
51 Council of the Isles of Scilly,Community,Childrens Services,600123,High Need SEND,31812,Home to School Transport - Volunteer and Other Payments,Tresco Estate,44803.041666666664,725.2,725.2,725.2
51 Council of the Isles of Scilly,Community,Childrens Services,600123,High Need SEND,43532,Professional Fees - Other,Nisai Virtual Academy Ltd,44796.041666666664,1900,1900,1900
51 Council of the Isles of Scilly,Community,Childrens Services,600123,High Need SEND,43532,Professional Fees - Other,St Joseph's School,44798.041666666664,4710,4710,4710
51 Council of the Isles of Scilly,Community,Childrens Services,600123,High Need SEND,47001,Grants & Conts to Other Bodies - Non Discretionary,Leading Edge Academies Partnership (Five Islands),44775.041666666664,6079.95,6079.95,6079.95
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,31603,Other Public Transport,,44775.041666666664,1627.26,1627.26,1627.26
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cherry Blossom Childcare,44789.041666666664,701.22,701.22,701.22
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,44789.041666666664,2400,2400,2400
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,44789.041666666664,2400,2400,2400
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,44789.041666666664,2400,2400,2400
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,44789.041666666664,2400,2400,2400
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Teachers Pensions,44798.041666666664,554.16,554.16,554.16
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Hiraeth Education Management Consultants,44775.041666666664,3500,3500,3500
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,43532,Professional Fees - Other,BWR Recruitment Ltd (Total Social),44775.041666666664,1443,1731.6,1443
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,43532,Professional Fees - Other,BWR Recruitment Ltd (Total Social),44789.041666666664,2344.9,2813.88,2344.9
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,43532,Professional Fees - Other,BWR Recruitment Ltd (Total Social),44798.041666666664,1459.5,1751.4,1459.5
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,43532,Professional Fees - Other,,44791.041666666664,1050,1050,1050
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,43532,Professional Fees - Other,iPeople Solutions Ltd,44803.041666666664,3437.5,4125,3437.5
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,43532,Professional Fees - Other,iPeople Solutions Ltd,44803.041666666664,3093.75,3712.5,3093.75
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,46103,Hotel Expenses,,44798.041666666664,4250,4250,4250
51 Council of the Isles of Scilly,Community,Childrens Services,600133,CSC Short Break Care,57014,Client Related Personal Needs - Private Contractors,,44782.041666666664,1850,1850,1850
51 Council of the Isles of Scilly,Community,Learning and Library,600210,Adult Education,12301,Training,In Safe Hands Health & Safety Training & Consultancy Ltd,44796.041666666664,1550,1860,1550
51 Council of the Isles of Scilly,Community,Learning and Library,600211,Library Services,49369,Pest Control,Scillonian Trading Ltd,44789.041666666664,50,648,540
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities,600220,IFCA,41104,Equipment & Plant - Direct Purchase,Saxton Marine Supplies,44775.041666666664,715,858,715
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities,600220,IFCA,41104,Equipment & Plant - Direct Purchase,Saxton Marine Supplies,44775.041666666664,1220,1464,1220
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities,600220,IFCA,41110,Hire of Plant & Equipment,Survitec Service & Distribution Ltd,44777.041666666664,536.12,643.34,536.12
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600232,Cultural Centre - Accountable Body,43505,Professional Services,Lavat Consulting Ltd T/A PSTAX,44791.041666666664,2250,2700,2250
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600232,Cultural Centre - Accountable Body,43532,Professional Fees - Other,,44782.041666666664,1846.5,1846.5,1846.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600232,Cultural Centre - Accountable Body,43532,Professional Fees - Other,,44796.041666666664,900,900,900
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600232,Cultural Centre - Accountable Body,47013,Grants & Conts to Other Bodies - Discretionary,Islands & Tourism Business Partnership Ltd,44782.041666666664,56490,56490,56490
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,44784.041666666664,3700,4440,3700
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,73819,R&M - Pest Control Costs (Building Related) - Planned [CHL],Bell Rock Hotel,44777.041666666664,471.68,566,471.68
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600241,Private Housing,22501,Rent,,44799.041666666664,700,700,700
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management,600260,Voucher Scheme,47013,Grants & Conts to Other Bodies - Discretionary,Sibleys Property Management Services,44775.041666666664,8387.4,22400.62,22400.62
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,43505,Professional Services,Cornwall Council,44784.041666666664,3500,3500,3500
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600305,Members,31601,Rail,One Off Payments,44775.041666666664,22.45,514.35,448.52
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600305,Members,31601,Rail,One Off Payments,44775.041666666664,96.9,514.35,448.52
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600305,Members,46103,Hotel Expenses,One Off Payments,44775.041666666664,329.17,514.35,448.52
51 Council of the Isles of Scilly,Community,Active Scilly,600313,Normandy Swimming Pool,22002,Electricity,Edf Energy Plc,44778.041666666664,9316.35,11179.62,9316.35
51 Council of the Isles of Scilly,Community,Active Scilly,600313,Normandy Swimming Pool,57050,Pest Control Contractor - Private Contractors,Scillonian Trading Ltd,44775.041666666664,30,528,440
51 Council of the Isles of Scilly,Community,Active Scilly,600313,Normandy Swimming Pool,57050,Pest Control Contractor - Private Contractors,Scillonian Trading Ltd,44789.041666666664,30,648,540
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,12301,Training,NAAONB,44777.041666666664,525,525,525
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Human Resources,600323,Human Resources,12504,Occupational Health Charges,Cornwall Council,44784.041666666664,1400,1680,1400
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Human Resources,600323,Human Resources,12506,Bike 2 Work Scheme,Cycle Solutions (Cycle to Work) Ltd,44803.041666666664,846.65,1015.98,846.65
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Human Resources,600323,Human Resources,89207,Consultancy Costs,JJG Consultancy & Executive Coaching Services Ltd,44796.041666666664,1847.5,2217,1847.5
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600328,,43504,Consultancy,Bloom Procurement Services Ltd,44798.041666666664,8895,10674,8895
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89208,Inspection / Survey Fees,Vickery Holman Ltd,44803.041666666664,2000,2400,2000
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89209,Other Professional Fees,Currie & Brown UK Ltd,44798.041666666664,1285,1542,1285
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89301,Capital Grants Paid,Isles Of Scilly Steamship Co,44775.041666666664,25087.5,25087.5,25087.5
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89301,Capital Grants Paid,Sibleys Property Management Services,44775.041666666664,14013.22,22400.62,22400.62
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,21101,R&M - Buildings - Planned,Davey & Gilbert Ltd,44831.041666666664,3105,3726,3105
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,21101,R&M - Buildings - Planned,Davey & Gilbert Ltd,44831.041666666664,1802,2162.4,1802
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,21110,R&M - Electrical - Planned,Evans Electricals,44826.041666666664,-4192.38,4192.38,4192.38
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,21110,R&M - Electrical - Planned,Evans Electricals,44826.041666666664,1200,4192.38,4192.38
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,21110,R&M - Electrical - Planned,Evans Electricals,44826.041666666664,2992.38,4192.38,4192.38
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,21110,R&M - Electrical - Planned,Evans Electricals,44826.041666666664,4192.38,4192.38,4192.38
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,22002,Electricity,Edf Energy Plc,44813.041666666664,580.66,696.79,580.66
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,44831.041666666664,1968.76,2362.52,1968.76
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,44831.041666666664,1980.01,2376.02,1980.01
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,41201,Office Furniture,Total Racking Solutions Ltd,44831.041666666664,466.64,559.97,466.64
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,43532,Professional Fees - Other,StructureHaus Ltd,44833.041666666664,600,720,600
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,43533,Professional Fees - Property Surveys,Valuation Office Agency,44833.041666666664,4750,5700,4750
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,43600,Fire Risk Assessments,Fire Risk Consulting Ltd,44833.041666666664,2385,2385,2385
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,49002,Miscellaneous Expenditure,Davey & Gilbert Ltd,44805.041666666664,-4290,5148,4290
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,49002,Miscellaneous Expenditure,Davey & Gilbert Ltd,44805.041666666664,4290,5148,4290
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,49002,Miscellaneous Expenditure,Davey & Gilbert Ltd,44805.041666666664,8603,10323.6,8603
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,,44831.041666666664,775,775,775
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,,44831.041666666664,775,775,775
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,,44810.041666666664,796.25,796.25,796.25
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600003,Commercial Property,22002,Electricity,Edf Energy Plc,44827.041666666664,755.7,906.84,755.7
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600003,Commercial Property,43505,Professional Services,Vickery Holman Ltd,44805.041666666664,1000,1200,1000
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600003,Commercial Property,43505,Professional Services,Vickery Holman Ltd,44812.041666666664,1200,1440,1200
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600003,Commercial Property,43505,Professional Services,Vickery Holman Ltd,44812.041666666664,1000,1200,1000
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600006,Adaptive Scillies,43504,Consultancy,Bloom Procurement Services Ltd,44812.041666666664,4236,5083.2,4236
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600006,Adaptive Scillies,43532,Professional Fees - Other,Sustainable Drainage Systems Ltd,44812.041666666664,8125,8125,8125
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600006,Adaptive Scillies,49002,Miscellaneous Expenditure,,44817.041666666664,18182,21818.4,18182
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600006,Adaptive Scillies,49002,Miscellaneous Expenditure,,44819.041666666664,540.05,540.05,540.05
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600010,Operational R & M Services,12301,Training,South West Water Ltd,44819.041666666664,2600,3120,2600
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600010,Operational R & M Services,22002,Electricity,Edf Energy Plc,44813.041666666664,-594.4,577.97,635.38
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600010,Operational R & M Services,22002,Electricity,Edf Energy Plc,44813.041666666664,0.42,577.97,635.38
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600010,Operational R & M Services,22002,Electricity,Edf Energy Plc,44813.041666666664,235.28,577.97,635.38
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600010,Operational R & M Services,22002,Electricity,Edf Energy Plc,44813.041666666664,431.77,577.97,635.38
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600010,Operational R & M Services,22002,Electricity,Edf Energy Plc,44813.041666666664,562.31,577.97,635.38
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600012,Highways,31102,Vehicle Repair and Maintenance,Big Wheels Services,44817.041666666664,482.69,579.23,482.69
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600012,Highways,41302,Materials,Instarmac Group Plc,44826.041666666664,1111.5,1333.8,1111.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Planning and Development,600021,Development Management,47002,Subscriptions,Esri (UK) Services Ltd,44817.041666666664,959,1150.8,959
51 Council of the Isles of Scilly,"Place, Economy and Environment",Planning and Development,600021,Development Management,47002,Subscriptions,Haymarket Media Group Ltd,44833.041666666664,3865,3865,3865
51 Council of the Isles of Scilly,Community,Fire and Rescue,600030,Fire & Rescue,21101,R&M - Buildings - Planned,Island Floorcare,44824.041666666664,680,680,680
51 Council of the Isles of Scilly,Community,Fire and Rescue,600030,Fire & Rescue,22002,Electricity,Edf Energy Plc,44827.041666666664,1523.57,1828.29,1523.57
51 Council of the Isles of Scilly,Community,Fire and Rescue,600030,Fire & Rescue,42503,Uniforms / Clothing,Total Workwear,44812.041666666664,421.51,505.82,421.51
51 Council of the Isles of Scilly,Community,Fire and Rescue,600032,Wholetime -2006 Scheme Fire Pension,11412,Pension Payments - Firefighters,Cornwall Council,44833.041666666664,1305.12,1305.12,1305.12
51 Council of the Isles of Scilly,Community,Fire and Rescue,600032,Wholetime -2006 Scheme Fire Pension,11412,Pension Payments - Firefighters,Cornwall Council,44833.041666666664,5079.8,5079.8,5079.8
51 Council of the Isles of Scilly,Community,Fire and Rescue,600032,Wholetime -2006 Scheme Fire Pension,11412,Pension Payments - Firefighters,Home Office,44833.041666666664,-136981.06,136981.06,136981.06
51 Council of the Isles of Scilly,Community,Fire and Rescue,600032,Wholetime -2006 Scheme Fire Pension,11412,Pension Payments - Firefighters,Home Office,44833.041666666664,58040.39,136981.06,136981.06
51 Council of the Isles of Scilly,Community,Fire and Rescue,600032,Wholetime -2006 Scheme Fire Pension,11412,Pension Payments - Firefighters,Home Office,44833.041666666664,78940.67,136981.06,136981.06
51 Council of the Isles of Scilly,Community,Fire and Rescue,600032,Wholetime -2006 Scheme Fire Pension,11412,Pension Payments - Firefighters,Home Office,44833.041666666664,136981.06,136981.06,136981.06
