Month,Supplier,Account Code,Transaction Ref,£
Apr,ACRC Ltd,Reactive Building Works,AAAplkAAFAADFHoAAT,740
Apr,ACS BUSINESS SUPPLIES LTD,Domestic Equipment,AAAplkAALAACQSlAAX,7272.1
Apr,ACS BUSINESS SUPPLIES LTD,Stationery & Office Materials,AAAplkAAFAADFUPAAb,738.75
Apr,Adecco UK Limited,Agency/Temp Staff,AAAplkAAMAACHLyAAA,501.59
Apr,AERO HEALTHCARE LTD,First Aid Equip/Consumables,AAAplkAAFAADFUfAAO,590
Apr,AERO HEALTHCARE LTD,First Aid Equip/Consumables,AAAplkAAFAADFUfAAP,590
Apr,AERO HEALTHCARE LTD,First Aid Equip/Consumables,AAAplkAAFAADFUfAAQ,590
Apr,AERO HEALTHCARE LTD,First Aid Equip/Consumables,AAAplkAAFAADFUfAAR,590
Apr,AERO HEALTHCARE LTD,First Aid Equip/Consumables,AAAplkAAMAACHKnAAO,590
Apr,AERO HEALTHCARE LTD,First Aid Equip/Consumables,AAAplkAAMAACHKnAAP,590
Apr,AERO HEALTHCARE LTD,First Aid Equip/Consumables,AAAplkAAMAACHKnAAQ,590
Apr,AERO HEALTHCARE LTD,First Aid Equip/Consumables,AAAplkAAMAACHKnAAR,590
Apr,AERO HEALTHCARE LTD,Uniform,AAAplkAAFAADFUfAAa,2382.66
Apr,All Saints Centre Huthwaite Limited,Hire of Rooms/Premises,AAAplkAAFAADCWnAAL,1200
Apr,ALLSIGNS INTERNATIONAL LTD,Stationery & Office Materials,AAAplkAALAACQSlAAT,757
Apr,Altberg Limited,Uniform,AAAplkAAFAADCWJAAN,727.26
Apr,AMP BIOMASS FUEL LTD,Annual Servicing,AAAplkAAFAADFMdAAJ,500
Apr,AMP BIOMASS FUEL LTD,Biomass Fuel,AAAplkAAMAACHK3AAO,1184.94
Apr,AMP Clean Energy Services Limited,Annual Servicing,AAAplkAAFAADFHoAAF,500
Apr,AMP Clean Energy Services Limited,Costs From Annual Servicing,AAAplkAAFAADFLhAAD,556.32
Apr,Animal Care Services Midlands Ltd - ACS,Seized Dogs,AAAplkAAFAADFMtAAM,24548.73
Apr,ASHFIELD DISTRICT COUNCIL,Partnership Contributions,AAAplkAAMAACHOYAAS,13700
Apr,ASHFIELD DISTRICT COUNCIL,Rent,AAAplkAAMAACHP9AAP,3166.66
Apr,Auto Electric Conversions & Repairs,Vehicle Maintenance,AAAplkAAFAADCWnAAH,4320
Apr,Automated Environmental Systems Ltd,Reactive Building Works,AAAplkAAFAADCWnAAV,695
Apr,Automated Environmental Systems Ltd,Reactive Building Works,AAAplkAAFAADCWnAAW,595
Apr,BASE 51,Commissioned Services,AAAplkAAMAACHPwAAA,5439
Apr,BASE 51,Commissioned Services,AAAplkAAMAACHPwAAC,2384.17
Apr,BASSETLAW DISTRICT COUNCIL,Rent,AAAplkAAFAADCWXAAX,9750
Apr,Bauer Radio Ltd,Publicity,AAAplkAAMAACHPhAAg,1300
Apr,Bauer Radio Ltd,Publicity,AAAplkAAMAACHMZAAJ,4000
Apr,Bauer Radio Ltd,Publicity,AAAplkAAMAACHMZAAG,6250
Apr,BENNETT SAFETYWEAR LTD,Uniform,AAAplkAAMAACHTyAAI,544
Apr,BENNETT SAFETYWEAR LTD,Uniform,AAAplkAAMAACHTyAAJ,680
Apr,BENNETT SAFETYWEAR LTD,Uniform,AAAplkAAMAACHTyAAK,1088
Apr,BIFFA WASTE SERVICES,Waste,AAAplkAAFAADCWnAAf,556.09
Apr,BLUE LIGHT PUBLISHING LTD T/A POLICE PASS,Internal Training Courses,AAAplkAAFAADFHkAAE,2133.28
Apr,BLUE LIGHT PUBLISHING LTD T/A POLICE PASS,Internal Training Courses,AAAplkAAFAADFHkAAF,960
Apr,BlueLight Commercial Limited,Professional Fees,AAAplkAAMAACHMMAAB,10000
Apr,BOING RAPID SECURE LTD,Damage to Property/Boarding Up,AAAplkAAFAADFM9AAA,1762.3
Apr,BOXXE LTD,Hardware - Purchase,AAAplkAAFAAC/1hAAA,8193.12
Apr,BOXXE LTD,Hardware - Purchase,AAAplkAAFAAC/1hAAB,15055.68
Apr,BOXXE LTD,Hardware - Purchase,AAAplkAAFAAC/1hAAC,5132.6
Apr,BOXXE LTD,Hardware - Purchase,AAAplkAAFAAC/1hAAD,940.98
Apr,BOXXE LTD,Hardware - Purchase,AAAplkAAFAAC/1hAAE,513.26
Apr,Breaking Barriers Building Bridges,Commissioned Services,AAAplkAAMAACD8kAAA,12649.92
Apr,Breaking Barriers Building Bridges,Commissioned Services,AAAplkAAMAACHTxAAB,9021.65
Apr,Breaking Barriers Building Bridges,Commissioned Services,AAAplkAAMAACHMMAAW,3628.25
Apr,BRITISH TELECOMMUNICATIONS PLC - PAYMENTS,Network Services,AAAplkAAFAADCVzAAG,14766.38
Apr,BRITISH TELECOMMUNICATIONS PLC - PAYMENTS,Network Services,AAAplkAAFAADCVzAAA,910.63
Apr,BRITISH TELECOMMUNICATIONS PLC - PAYMENTS,Network Services,AAAplkAAFAADCVzAAD,14384.65
Apr,BRITISH TELECOMMUNICATIONS PLC - PAYMENTS,Network Services,AAAplkAAFAADCWJAAQ,29352.54
Apr,BRITNELL TREE SERVICES LTD,Grounds Maintenance,AAAplkAAFAADFMtAAS,700
Apr,BT Global Services BT PLC,Network Services,AAAplkAAFAADCWTAAA,541.66
Apr,BUDDI LTD,Criminal Deterrent Devices,AAAplkAAMAACHUnAAW,3440
Apr,BYTES SOFTWARE SERVICES LTD,Data Storage Cloud,AAAplkAALAACQS1AAM,32520
Apr,C WALTON LTD T/A MANHEIM VEHICLE SERVICES,Hire of Rooms/Premises,AAAplkAAFAADFUPAAA,500
Apr,CARLTON IN LINDRICK CIVIC CENTRE,Hire of Rooms/Premises,AAAplkAAFAADFVdAAA,3419
Apr,CENTURY FIRE AND SECURITY LTD,Reactive Building Works,AAAplkAAFAADCWnAAS,589.6
Apr,CERTAS ENERGY UK LTD - PACE FUELCARE,Diesel - Vehicle Fuel,AAAplkAAMAACD9EAAG,15458.3
Apr,CERTAS ENERGY UK LTD - PACE FUELCARE,Petrol - Vehicle Fuel,AAAplkAAMAACD9EAAJ,12386.52
Apr,CERTAS ENERGY UK LTD - PACE FUELCARE,Petrol - Vehicle Fuel,AAAplkAALAACNqfAAF,18205.21
Apr,Change Begins Today (CBT) Ltd,Doctors Statements,AAAplkAAFAADFM9AAD,1380
Apr,Chilton Project Management Ltd,Consultants Fees,AAAplkAAMAACD80AAH,923.75
Apr,CINTRA LTD,Interpreters Fees,AAAplkAAFAADCWJAAT,38352.87
Apr,CIPFA - FINANCE,Professional Fees,AAAplkAAMAACHQNAAN,20000
Apr,CIPFA - FINANCE,Software Licences,AAAplkAAFAADCWnAAP,3773.92
Apr,COMPUTACENTER (UK) LTD,Break-Fix Expenses/Consumables,AAAplkAAFAADCWXAAI,3135
Apr,COMPUTACENTER (UK) LTD,Break-Fix Expenses/Consumables,AAAplkAAFAADCWhAAM,2907.2
Apr,COONEEN PROTECTION LTD,Uniform,AAAplkAAMAACD8kAAC,2283.08
Apr,COONEEN PROTECTION LTD,Uniform,AAAplkAAMAACHMZAAD,503.5
Apr,CPOSA,Insurance NPCC/Supt Legal Prot,AAAplkAAMAACD8cAAH,2800
Apr,CPOSA,Insurance NPCC/Supt Legal Prot,AAAplkAAMAACD8cAAV,2800
Apr,CPOSA,Insurance NPCC/Supt Legal Prot,AAAplkAAMAACD8cAAJ,2800
Apr,CVL SYSTEMS LTD,Planned Building Works,AAAplkAAMAACHKHAAS,1550
Apr,CVL SYSTEMS LTD,Reactive Building Works,AAAplkAAMAACHKHAAe,1425
Apr,CVL SYSTEMS LTD,Reactive Building Works,AAAplkAAMAACHKHAAV,635
Apr,CYCLESCHEME LTD,Sal Deductns - Cycle to Work,AAAplkAAMAACHLHAAS,704.17
Apr,CYCLESCHEME LTD,Sal Deductns - Cycle to Work,AAAplkAAMAACHPxAAJ,2083.33
Apr,CYCLESCHEME LTD,Sal Deductns - Cycle to Work,AAAplkAAFAADCX5AAE,1506.83
Apr,CYCLESCHEME LTD,Sal Deductns - Cycle to Work,AAAplkAAFAADFTvAAA,2083.33
Apr,DATA PRO IT LTD,Hardware - Purchase,AAAplkAAMAACHTiAAT,1384
Apr,DATA PRO IT LTD,Break-Fix Expenses/Consumables,AAAplkAAMAACHPhAAa,512
Apr,Deaf-initely Women,Partnership Grants,AAAplkAAMAACHUnAAZ,22751
Apr,DFP SERVICES LTD,Annual Servicing,AAAplkAAMAACHPXAAY,2152
Apr,DFP SERVICES LTD,Costs From Annual Servicing,AAAplkAAMAACHL8AAV,550
Apr,DFP SERVICES LTD,Reactive Building Works,AAAplkAAFAADFMdAAe,517.38
Apr,Documation Software Ltd,IS Support & Maintenance,AAAplkAALAACNqPAAb,9000
Apr,Documation Software Ltd,IS Support & Maintenance,AAAplkAALAACNqPAAc,15975
Apr,Dodd Group (Midlands) Ltd,Partnership Grants,AAAplkAAFAADFMtAAe,29008.26
Apr,Dodd Group (Midlands) Ltd,Commissioned Services,AAAplkAAFAADFMdAAG,6033.55
Apr,Dr Jasmeet Soar Limited,Forensic Analysis,AAAplkAAMAACHL9AAG,2250
Apr,DR STUART JOHN HAMILTON,Expert Statements,AAAplkAAMAACHMYAAA,600
Apr,DRS DIRECT LTD,Agency/Temp Staff,AAAplkAAMAACD7WAAA,1150
Apr,DRS DIRECT LTD,Agency/Temp Staff,AAAplkAAMAACD78AAZ,782
Apr,DRS DIRECT LTD,Agency/Temp Staff,AAAplkAAMAACHMMAAY,1150
Apr,DRS DIRECT LTD,Agency/Temp Staff,AAAplkAAFAADFMtAAY,759
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHP3AAH,8239.78
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHP3AAQ,2107.34
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHKXAAC,518.15
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHP3AAc,1892.26
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHUiAAI,38522.73
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHP3AAK,7618.47
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHUvAAG,9494.98
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHP3AAN,12463.25
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHUvAAM,2048.06
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHP3AAW,5556.97
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHP3AAZ,5147.32
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHUvAAD,85132.88
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHUiAAL,25474.54
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHP3AAT,16553.8
Apr,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACHUvAAJ,1731.85
Apr,EDGENEXUS LTD - MARLOW,IS Support & Maintenance,AAAplkAALAACNuhAAW,9262
Apr,EDGENEXUS LTD - MARLOW,IS Support & Maintenance,AAAplkAALAACNuhAAX,10890
Apr,EE LTD - AIRTIME,Mobile Phone,AAAplkAAMAACD8cAAN,18302.49
Apr,EE LTD - AIRTIME,Mobile Phone,AAAplkAAMAACD8cAAQ,6710.83
Apr,EE LTD - AIRTIME,Mobile Phone,AAAplkAAFAADCWHAAA,18212.94
Apr,ELIS UK LTD,Laundry,AAAplkAAMAACHLjAAA,915.86
Apr,ELIS UK LTD,Laundry,AAAplkAAMAACHLjAAB,1265.34
Apr,Endura Ltd,Uniform,AAAplkAAFAADCRWAAD,899
Apr,EON Next Energy Ltd - PO Box 10909,Electricity,AAAplkAAFAADCVvAAH,2269.44
Apr,EON UK ENERGY SERVICES LTD - NPOWER,Electricity,AAAplkAAMAACHL5AAG,7058.99
Apr,EQUATION NOTTINGHAMSHIRE,Commissioned Services,AAAplkAAMAACHKXAAa,3031.64
Apr,EVACUSAFE LTD,External Training Courses,AAAplkAAMAACHQHAAO,750
Apr,Evolve Nottingham CIC,Commissioned Services,AAAplkAAMAACHMOAAA,11161.74
Apr,FLOGAS BRITAIN LTD,Heating Fuel Oil,AAAplkAAMAACHVuAAE,3733.05
Apr,FLOGAS BRITAIN LTD,Heating Fuel Oil,AAAplkAAFAADCSCAAI,976.4
Apr,FORCE IT SOLUTIONS LTD,Software Application,AAAplkAAMAACHTyAAU,3850
Apr,FORD MOTOR COMPANY LTD - NOTTINGHAM,Vehicle Maintenance,AAAplkAAFAADFVfAAF,546.79
Apr,FRANCOTYP-POSTALIA LTD - POSTBASE,Postage Costs,AAAplkAAMAACHM3AAE,1000
Apr,FRANCOTYP-POSTALIA LTD - POSTBASE,Postage Costs,AAAplkAAMAACHMqAAE,3000
Apr,Fuchs Lubricants UK (PLC),Vehicle Maintenance,AAAplkAAFAADCWVAAA,1607.2
Apr,FWP PLUMBERS NOTTINGHAM LTD,Reactive Building Works,AAAplkAAMAACHP9AAG,1314.66
Apr,Gallagher Basset International Ltd,Insurance Claims Provision,AAAplkAAMAACHLjAAE,6782.68
Apr,GALLAGHER BASSETT - FEES,Brokers & Claim Handling Fees,AAAplkAAFAADFPaAAA,3990
Apr,GALLAGHER BASSETT - GALLAGHER,Brokers & Claim Handling Fees,AAAplkAAMAACHMOAAB,1018.82
Apr,GARRAN LOCKERS LTD,Furniture,AAAplkAAFAADFU/AAF,1490.64
Apr,GEDLING BOROUGH COUNCIL,Rent,AAAplkAAMAACHL7AAX,8120.63
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAI,5917.75
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAJ,5917.75
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAK,3614.37
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAB,5917.75
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAF,5917.79
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAC,5917.75
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAA,5917.75
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAH,1902.68
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAE,5917.75
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAD,4746.38
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAG,5917.75
Apr,Gelder Ltd,Condition Survey Works,AAAplkAAMAACD8gAAL,5917.75
Apr,GEMCO SERVICE LTD,Vehicle Workshop Equipment,AAAplkAAMAACD8kAAO,1774.5
Apr,GEO HANSON & SONS HUCKNALL LTD,Operational Consum Equip/Mtn,AAAplkAAFAADFVdAAG,1267.2
Apr,Graham Fulford Charitable Trust,Wellbeing,AAAplkAAFAADFVdAAP,1500
Apr,Graham Fulford Charitable Trust,Wellbeing,AAAplkAAFAADFVdAAM,8730
Apr,Graham Fulford Charitable Trust,Wellbeing,AAAplkAAFAADFVdAAO,510
Apr,GRIFFEYE TECHNOLOGIES AB,Software Licences,AAAplkAAFAADCSwAAF,28490
Apr,HARMLESS CIC,External Training Courses,AAAplkAAFAADFMJAAE,796.5
Apr,HARMLESS CIC,External Training Courses,AAAplkAAFAADFMJAAC,796.5
Apr,HARMLESS CIC,External Training Courses,AAAplkAAFAADFMJAAA,796.5
Apr,HEALTHWORK GROUP LTD,Employee Medical Costs,AAAplkAAFAADCSYAAA,3240
Apr,Humble Associates Limited,Doctors Statements,AAAplkAAFAADCRmAAA,850
Apr,ICCA ENTERPRISES CIC,Hire of Rooms/Premises,AAAplkAAMAACHPhAAD,5830
Apr,ICVA,Subscriptions,AAAplkAAMAACHUnAAA,1000
Apr,IMARA,Commissioned Services,AAAplkAALAACNuVAAa,25698.56
Apr,IMARA,Commissioned Services,AAAplkAALAACNuVAAE,1240.75
Apr,IMARA,Commissioned Services,AAAplkAALAACNuVAAY,3416.72
Apr,IMARA,Commissioned Services,AAAplkAALAACNuVAAc,902.83
Apr,INCHCAPE RETAIL LTD,Vehicle Maintenance,AAAplkAAMAACHUSAAG,545.3
Apr,Integrated Building Management Systems Ltd,Annual Servicing,AAAplkAAMAACHPhAAD,1960.5
Apr,J & S ACCESSORIES LTD - NOTTINGHAM,Operational Consum Equip/Mtn,AAAplkAAFAADCUvAAA,746.57
Apr,JACKSONS RECOVERY LTD - STECHFORD,Vehicle Recovery Costs,AAAplkAAFAADCX5AAN,1190
Apr,JC APPLICATIONS DEVELOPMENT LTD,Software Licences,AAAplkAAFAADCV5AAM,6121
Apr,Juno Women's Aid,Commissioned Services,AAAplkAAMAACHQbAAO,24488.98
Apr,KAYS MEDICAL LTD,Wellbeing,AAAplkAAMAACHL7AAU,6000
Apr,KAYS MEDICAL LTD,Wellbeing,AAAplkAAFAADFQKAAG,693.6
Apr,KAYS MEDICAL LTD,Wellbeing,AAAplkAAFAADFQKAAJ,693.6
Apr,KEELA INTERNATIONAL LTD,Uniform,AAAplkAALAACNqrAAK,1026.52
Apr,KEELA INTERNATIONAL LTD,Uniform,AAAplkAALAACNqrAAL,2799.6
Apr,KEELA INTERNATIONAL LTD,Uniform,AAAplkAALAACNqrAAM,2706.28
Apr,KEELA INTERNATIONAL LTD,Uniform,AAAplkAALAACNqrAAN,1539.78
Apr,KEELA INTERNATIONAL LTD,Uniform,AAAplkAALAACNqrAAC,1132.5
Apr,KEELA INTERNATIONAL LTD,Uniform,AAAplkAALAACNqrAAF,906
Apr,KEELA INTERNATIONAL LTD,Uniform,AAAplkAAFAADCSeAAA,555.75
Apr,KEELA INTERNATIONAL LTD,Uniform,AAAplkAAFAADCSeAAB,1115
Apr,KEELA INTERNATIONAL LTD,Uniform,AAAplkAAFAADCSeAAC,1111.5
Apr,KEELA INTERNATIONAL LTD,Uniform,AAAplkAAFAADCSeAAE,555.75
Apr,KEELA INTERNATIONAL LTD,Uniform,AAAplkAAFAADCSeAAJ,500.2
Apr,KORN FERRY (UK) LTD,Professional Fees,AAAplkAAFAADCVvAAE,1370
Apr,LAMBERT SMITH HAMPTON - NOTTINGHAM,Fees Planned,AAAplkAAFAADCS8AAN,4000
Apr,LAMBERT SMITH HAMPTON - NOTTINGHAM,Fees Planned,AAAplkAAFAADCS8AAO,5000
Apr,LAVAT CONSULTING LTD,Professional Fees,AAAplkAALAACQSlAAa,2250
Apr,LEICA GEOSYSTEMS LTD,External Training Courses,AAAplkAAFAADCS8AAd,1485
Apr,LEICA GEOSYSTEMS LTD,External Training Courses,AAAplkAAFAADCS8AAe,1485
Apr,LEVA INTERNATIONAL INC,External Training Courses,AAAplkAAMAACHQbAAK,1800.58
Apr,LEVA INTERNATIONAL INC,External Training Courses,AAAplkAAMAACHQbAAM,3601.15
Apr,LINK Mobility UK Ltd,Network Services,AAAplkAAMAACHPbAAA,1184.04
Apr,LINK TREASURY SERVICES LTD - LONDON,Treasury Costs,AAAplkAAMAACHUnAAF,585
Apr,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAMAACD8kAAf,4701.5
Apr,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAFAADCScAAb,1135.86
Apr,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAMAACHMMAAH,1668.3
Apr,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAFAADCSsAAQ,2420.56
Apr,M & E ACCIDENT REPAIR CENTRE LTD,Vehicle Maintenance,AAAplkAAFAADCSMAAe,639.3
Apr,MACILDOWIE ASSOCIATES LTD,Agency/Temp Staff,AAAplkAAMAACD7sAAH,1904.76
Apr,MACOI LTD,Furniture,AAAplkAAMAACHPtAAY,13338.04
Apr,MACOI LTD,Furniture,AAAplkAALAACNqrAAQ,1437.72
Apr,MACOI LTD,Furniture,AAAplkAALAACNqrAAR,2904
Apr,MALTY CROSS LTD,Hire of Rooms/Premises,AAAplkAAFAADCSwAAA,7680
Apr,Mansfield District council - Chesterfield Rd,Partnership Contributions,AAAplkAAMAACHT7AAc,10250
Apr,Mansfield District council - Chesterfield Rd,Commissioned Services,AAAplkAAFAADCWhAAe,5700
Apr,Marlowe Fire & Security Limited,Reactive Building Works,AAAplkAAFAADCR4AAR,955
Apr,Marlowe Fire & Security Limited,Reactive Building Works,AAAplkAAFAADFUPAAY,894.07
Apr,MARSHALL MOTOR GROUP LTD,Vehicle Maintenance,AAAplkAAMAACHQNAAW,1396.85
