Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Area,Merchant Category
0000315583,CASTLE WATER,16/08/2024,"4,100.12",444.80,Asset Management,Various,Water Charges
0000316219,ASSURA MEDICAL CENTRES LTD,30/08/2024,"1,378.88",229.81,Asset Management,Stanwell Health Centre,Management fees
0000316679,SP GRAPHICS,30/08/2024,"4,071.60",678.60,Depot,Street Cleaning,Street Nameplates
0000317206,INSIDE HOUSING SOLUTIONS LTD,13/08/2024,"4,800.00",800.00,Environmental Health,Noise Control,OutOfHoursCallService
0000317464,GM CONSTRUCTION MAINTENANCE,02/08/2024,"1,140.00",190.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000320050,VIVID RESOURCING,02/08/2024,750.00,125.00,Environmental Health,Environmental Health Admin,Agency Staff
0000320150,NCC GROUP ACCUMULI SECURITY LTD,02/08/2024,"8,581.43","1,430.24",Office Services,IT Overheads & Infrastructure,Computer Software
0000320347,THE OYSTER PARTNERSHIP,23/08/2024,"3,432.00",572.00,Asset Management,Asset Management Admin,Agency Staff
0000321390,ACCESS PAYSUITE,28/08/2024,"7,794.43",0.00,Accounts,Customer Services,Computer Software
0000321391,ACCESS PAYSUITE,28/08/2024,689.10,114.85,Accounts,Customer Services,Computer Software
0000321397,GRANICUS-FIRMSTEP LTD,09/08/2024,"58,080.00","9,680.00",Office Services,Sharepoint redesign & Relaunch,Software Packages
0000321617,CULLIGAN (UK) LTD,13/08/2024,"1,362.10",227.02,Office Services,Facilities Management,Operational Equipment Maint.
0000321655,VIVID RESOURCING,23/08/2024,740.00,123.33,Environmental Health,Environmental Health Admin,Agency Staff
0000321657,VIVID RESOURCING,30/08/2024,"3,158.40",526.40,Environmental Health,Environmental Health Admin,Agency Staff
0000321659,KENT COUNTY COUNCIL (KCS),02/08/2024,"79,559.33","12,725.22",Asset Management,Various,Electricity
0000321660,KENT COUNTY COUNCIL (KCS),02/08/2024,"9,353.02","1,446.58",Asset Management,Various,Gas
0000321662,KENT COUNTY COUNCIL (KCS),02/08/2024,"3,375.28",426.52,Asset Management,"Car Park Administration, Community Safety CCTV",Electricity
0000321669,BT GLOBAL SERVICES,02/08/2024,"1,526.13",254.35,Information Technology,IT Overheads & Infrastructure,Networking
0000321679,INCA CREATIVE PRINT LTD,06/08/2024,954.00,159.00,Depot,Neighbourhood Serv Mgt Support,Marketing
0000321687,SECURE SITE UK LIMITED,02/08/2024,892.80,148.80,Asset Management,Oast House,Site Security
0000321688,SECURE SITE UK LIMITED,20/08/2024,892.80,148.80,Asset Management,Oast House,Site Security
0000321689,SECURE SITE UK LIMITED,02/08/2024,892.80,148.80,Asset Management,Oast House,Site Security
0000321716,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,02/08/2024,654.00,109.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000321808,ROYAL MAIL,06/08/2024,"4,522.45",734.21,Office Services,Postage Holding Account,Holding Account Expenditure
0000321846,RED KITE CONSERVATION SERVICES,02/08/2024,"1,248.00",208.00,Depot,Environmental Enhancements,Grounds maintained noncontract
0000321847,VIVID RESOURCING,23/08/2024,750.00,125.00,Environmental Health,Environmental Health Admin,Agency Staff
0000321848,INCA CREATIVE PRINT LTD,06/08/2024,750.00,125.00,Depot,Neighbourhood Serv Mgt Support,Marketing
0000321852,VIVID RESOURCING,02/08/2024,"2,070.00",345.00,Office Services,Environmental Health Admin,Agency Staff
0000321853,VIVID RESOURCING,02/08/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff
0000321858,ELECTION PAYMENTS,02/08/2024,560.00,0.00,Elections,Parliamentary Elections 2024,Polling Staion Costs
0000321859,ELECTION PAYMENTS,02/08/2024,608.70,0.00,Elections,Parliamentary Elections 2024,Polling Staion Costs
0000321863,CENTERPRISE INTERNATIONAL LTD,02/08/2024,633.60,105.60,Information Technology,IT Overheads & Infrastructure,Hardware Support
0000321864,NOBLE POLYTHENE LTD,02/08/2024,"4,514.40",752.40,Depot,Grounds Maintenance,Operational Equipment purchase
0000321865,POWERPOINT FIRE AND SECURITY LTD,02/08/2024,988.36,164.73,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000321868,REDACTED PERSONAL INFORMATION,02/08/2024,810.00,135.00,Planning,Planning Policy and Implement,Consultants fees
0000321870,MORGAN HUNT,02/08/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000321872,CFH DOCMAIL LTD,02/08/2024,"4,547.72",757.95,Financial Support,Elections,External printing
0000321873,SPELTHORNE DIRECT SERVICES LTD,09/08/2024,607.20,101.20,Office Services,Facilities Management,Trade waste collection
0000321875,CFH DOCMAIL LTD,02/08/2024,"23,789.38","3,935.93",Financial Support,Parliamentary Elections 2024,Postal Voting Costs
0000321877,POWERPOINT FIRE AND SECURITY LTD,02/08/2024,"3,021.00",503.50,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000321878,GM CONSTRUCTION MAINTENANCE,02/08/2024,840.00,140.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000321879,SEE SERVICES,02/08/2024,"3,614.64",602.44,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000321881,REDACTED PERSONAL INFORMATION,02/08/2024,"6,180.00","1,030.00",Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000321882,CFH DOCMAIL LTD,02/08/2024,"49,843.25","8,307.21",Financial Support,Parliamentary Elections 2024,Count Costs
0000321885,SECURE SITE UK LIMITED,02/08/2024,892.80,148.80,Asset Management,Oast House,Site Security
0000321888,MOLE VALLEY DISTRICT COUNCIL,23/08/2024,"4,789.66",798.28,Community Safety and Corporate Services,Accountancy,Other LA Authority MVDC
0000321889,SURREY RECRUITMENT SERVICES LIMITED,02/08/2024,"10,215.73","1,702.63",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff
0000321890,PERTEMPS RECRUITMENT PARTNERSHIP LTD,02/08/2024,"1,154.40",192.40,Depot,Refuse Collection,Agency Staff
0000321891,G2RECRUITMENT,02/08/2024,976.50,162.75,Environmental Health,Environmental Health Admin,Agency Staff
0000321895,ROYAL MAIL,02/08/2024,"2,532.89",0.00,Office Services,Postage Holding Account,Holding Account Expenditure
0000321896,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,02/08/2024,717.60,119.60,Chief Exec. Dpt,Spelthorne Youth Hub,Electrical Works
0000321899,KOMPAN UK,02/08/2024,"1,596.62",266.10,Environmental Health,Grounds Maintenance,Playground Improvements
0000321900,KINGSPAN WATER AND ENERGY LTD,02/08/2024,"1,582.29",263.72,Depot,Grounds Maintenance,Operational equip mats & suppl
0000321901,FIRST CALL CONTRACT SERVICES,09/08/2024,"2,249.28",374.88,Depot,Street Cleaning,Agency Staff
0000321903,CENTERPRISE INTERNATIONAL LTD,02/08/2024,"1,159.20",193.20,Information Technology,IT Overheads & Infrastructure,Hardware Support
0000321907,ROYAL MAIL,02/08/2024,"7,515.48","1,252.58",Office Services,Postage Holding Account,Holding Account Expenditure
0000321912,ELECTION PAYMENTS,02/08/2024,950.00,0.00,Elections,Parliamentary Elections 2024,Polling Staion Costs
0000321917,ELECTION PAYMENTS,02/08/2024,510.00,0.00,Elections,Parliamentary Elections 2024,Polling Staion Costs
0000321918,ELECTION PAYMENTS,02/08/2024,800.00,0.00,Elections,Parliamentary Elections 2024,Polling Staion Costs
0000321920,PORTALPLANQUEST LTD,02/08/2024,867.00,0.00,Planning,Development Control,Planning Application fees
0000321922,CORNERSTONES BARRISTERS,02/08/2024,"1,500.00",250.00,Planning,Development Control,Legal and Court Costs
0000321926,SAFEPLAY PLAYGROUND SERVICES LTD,16/08/2024,"2,669.40",444.90,Environmental Health,Grounds Maintenance,Playground Inspections
0000321928,EVACUSAFE UK LTD,02/08/2024,"1,680.00",280.00,Depot,Training,Other training
0000321930,G2RECRUITMENT,02/08/2024,798.00,133.00,Environmental Health,Environmental Health Admin,Agency Staff
0000321931,G2RECRUITMENT,02/08/2024,945.00,157.50,Environmental Health,Environmental Health Admin,Agency Staff
0000321932,G2RECRUITMENT,02/08/2024,945.00,157.50,Environmental Health,Environmental Health Admin,Agency Staff
0000321940,CONSTANT POWER SERVICES LTD,02/08/2024,"3,057.60",509.60,Information Technology,IT Desktop,Server Maintenance
0000321942,LAW MORGAN LTD T/AS MORGAN LAW LTD,02/08/2024,"3,300.00",550.00,Car Parks,Procurement,Agency Staff
0000321944,JK BUILD LTD,02/08/2024,"45,700.90","7,616.82",Asset Management,Ashford Cemetry Lodge,Planning Application fees
0000321946,SAFESITE FACILITIES LTD,02/08/2024,"3,908.52",651.42,Asset Management,Ashford Hospital,Site Security
0000321950,ELECTION PAYMENTS,06/08/2024,560.00,0.00,Elections,PCC Elections May 24,Polling Staion Costs
0000321954,THOMSON REUTERS,06/08/2024,"2,460.00",0.00,Car Parks,Electoral Registration,Books & publications
0000321975,TRAVIS PERKINS,16/08/2024,"2,459.28",409.88,Depot,Grounds Maintenance,Operational equip mats & suppl
0000321979,BRAY ASSOCIATES,06/08/2024,"8,304.00","1,384.00",Depot,Staines Market,External Contracts
0000321981,WATSON FUELS,06/08/2024,"20,060.94","3,343.49",Depot,Depot Fuel & Oils,Purchases
0000321985,THAMESWAY CONTRACTORS LTD,06/08/2024,"17,412.31","2,902.05",Asset Management,Planned Maintenance Programme,Responsive maintenance
0000321988,REDACTED PERSONAL INFORMATION,06/08/2024,"1,140.00",190.00,Asset Management,Benwell P2,Consultants fees
0000321989,CFH DOCMAIL LTD,06/08/2024,"1,699.34",283.22,Financial Support,Electoral Registration,Postage Direct charge
0000322024,CORNERSTONES BARRISTERS,06/08/2024,"4,950.00",825.00,Planning,Development Control,Legal and Court Costs
0000322027,LONDON WARRANT ENFORCEMENT,06/08/2024,"1,033.81",0.00,Office Services,Office Services,Office Services
0000322029,REDACTED PERSONAL INFORMATION,06/08/2024,"5,280.00",0.00,Community Safety and Corporate Services,Staines-upon-Thames Annual Day,Rechargeable Works Expenditure
0000322032,REDACTED PERSONAL INFORMATION,06/08/2024,"1,790.00",0.00,Community Safety and Corporate Services,Staines-upon-Thames Annual Day,Rechargeable Works Expenditure
0000322042,MIDASPLUS FUNDRAISING,06/08/2024,"2,000.00",0.00,Planning,Share Prosperity Fund,Business Growth Plans & Innova
0000322051,PLANNING/ASSET MGMT,09/08/2024,"2,000.00",0.00,Planning,Share Prosperity Fund,Business Growth Plans & Innova
0000322054,ECOTRICITY GROUP LIMITED,13/08/2024,821.15,39.12,Asset Management,Thameside House,Electricity
0000322055,SURREY HEATH BOROUGH COUNCIL,09/08/2024,"15,494.71",0.00,Depot,Recycling All Materials - AWC,External Contracts
0000322058,SURREYARBORIST,09/08/2024,660.00,0.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000322059,SELLICK PARTNERSHIP LTD,09/08/2024,"2,206.87",367.81,Car Parks,Legal,Agency Staff
0000322060,SELLICK PARTNERSHIP LTD,09/08/2024,829.09,138.18,Car Parks,Legal,Agency Staff
0000322061,SELLICK PARTNERSHIP LTD,09/08/2024,"1,890.12",315.02,Car Parks,Legal,Agency Staff
0000322062,SELLICK PARTNERSHIP LTD,09/08/2024,"2,171.39",361.90,Car Parks,Legal,Agency Staff
0000322066,SELLICK PARTNERSHIP LTD,09/08/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000322067,WEST LONDON FLOORING LTD,09/08/2024,"5,044.50",840.75,Chief Exec. Dpt,Business Incubator,Internal decorations
0000322069,SURREYARBORIST,09/08/2024,"1,320.00",0.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000322070,SURREYARBORIST,09/08/2024,660.00,0.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000322072,SDK ENVIRONMENTAL LTD,09/08/2024,"1,506.00",251.00,Environmental Health,Control of Stray Dogs,Kennel Costs
0000322073,DICOL EFFLUENT,09/08/2024,789.00,114.00,Depot,White House Garage Site,Environmental Services
0000322074,UNIVERSAL TRAILERS,09/08/2024,919.20,153.20,Depot,Grounds Maintenance,Operational Equipment purchase
0000322080,JADE SECURITY SERVICES LTD,09/08/2024,"4,010.60",668.43,Car Parks,Car Park Administration,Security services
0000322082,SOHO COMMERCIAL LTD,09/08/2024,"3,513.60",585.60,Depot,Wheelie Bins,Equipment
0000322083,G2RECRUITMENT,09/08/2024,971.26,161.88,Environmental Health,Environmental Health Admin,Agency Staff
0000322085,LOGISTICS UK,13/08/2024,926.46,154.41,Depot,Refuse Collection,Operational equip mats & suppl
0000322088,MAY HARRIS MULTI SERVICES LTD,09/08/2024,"13,797.64","2,299.61",Office Services,Various,Contract cleaning
0000322093,12 COLLEGE PLACE,09/08/2024,"1,122.00",187.00,Car Parks,HB Administration,Legal and Court Costs
0000322095,12 COLLEGE PLACE,09/08/2024,932.80,155.47,Car Parks,HB Administration,Legal and Court Costs
0000322109,ETHICAL DIRECT LTD,09/08/2024,526.11,0.00,Office Services,Facilities Management,Operational Equipment Maint.
0000322124,SOURCE 4 PERSONNEL SOLUTIONS,09/08/2024,790.08,131.68,Depot,Refuse Collection,Agency Staff
0000322125,INSIGHT DIRECT (UK)LTD,09/08/2024,"7,113.60","1,185.60",Information Technology,General Harrdware & Software,Equipment
0000322128,VIVID RESOURCING,09/08/2024,"2,070.00",345.00,Office Services,Environmental Health Admin,Agency Staff
0000322129,VIVID RESOURCING,09/08/2024,"3,384.00",564.00,Environmental Health,Environmental Health Admin,Agency Staff
0000322130,VIVID RESOURCING,09/08/2024,870.00,145.00,Environmental Health,Environmental Health Admin,Agency Staff
0000322135,THE GREAT OUTDOOR GYM COMPANY,09/08/2024,"1,699.20",283.20,Environmental Health,Grounds Maintenance,Playground Improvements
0000322138,REID'S PLAYGROUND MAINTENANCE LTD,09/08/2024,"2,526.00",421.00,Environmental Health,Grounds Maintenance,Playground Improvements
0000322139,LAW MORGAN LTD T/AS MORGAN LAW LTD,09/08/2024,"3,300.00",550.00,Car Parks,Procurement,Agency Staff
0000322141,MORGAN HUNT,09/08/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000322142,STAINES-UPON-THAMES BID LTD,09/08/2024,"8,712.14","1,452.02",Office Services,Staines BID,Rechargeable Works Expenditure
0000322144,HONEY  BROTHERS LIMITED,16/08/2024,"1,366.87",227.81,Assets,Grounds Maintenance,Operational Equipment purchase
0000322145,REID'S PLAYGROUND MAINTENANCE LTD,09/08/2024,"1,032.00",172.00,Environmental Health,Grounds Maintenance,Playground Improvements
0000322149,WATSON FUELS,13/08/2024,"19,259.64","3,209.94",Depot,Depot Fuel & Oils,Purchases
0000322153,VIVID RESOURCING,16/08/2024,"2,052.00",342.00,Planning,Planning Policy and Implement,Agency Staff
0000322158,GAMMA BUSINESS COMMUNICATIONS,20/08/2024,"5,257.38",876.23,Information Technology,Office Services,Telephones call charges
0000322178,CANON UK LIMITED,13/08/2024,903.72,150.62,Office Services,Internal Printing,Printers Lease chg
0000322182,REDACTED PERSONAL INFORMATION,13/08/2024,"1,700.00",0.00,Community Safety and Corporate Services,Planning Policy and Implement,Consultants fees
0000322183,ACCELERATED MAILING & MARKETING,13/08/2024,889.12,148.19,Office Services,Customer Services,Bureau Printing
0000322184,PERTEMPS RECRUITMENT PARTNERSHIP LTD,16/08/2024,"2,077.92",346.32,Depot,Refuse Collection,Agency Staff
0000322185,REDACTED PERSONAL INFORMATION,13/08/2024,"1,200.00",200.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000322187,REDACTED PERSONAL INFORMATION,13/08/2024,"5,400.00",900.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000322188,TRACE SOLUTIONS LTD,13/08/2024,"4,512.24",752.04,Asset Management,Asset Management Admin,Computer Software
0000322190,IDOX SOFTWARE LTD,16/08/2024,720.00,120.00,Financial Support,CX,Other training
0000322191,FIELDFISHER LLP,30/08/2024,"1,497.91",249.65,Car Parks,Depot,Trucks
0000322193,REDACTED PERSONAL INFORMATION,13/08/2024,"2,940.00",490.00,Asset Management,"3 Roundwood Ave, Stockley Park",Consultants fees
0000322199,ASHFORD YOUTH AND COMMUNITY CLUB CIC,13/08/2024,"11,753.16",0.00,Chief Exec. Dpt,Spelthorne Youth Hub,General repairs
0000322201,FIRST CALL CONTRACT SERVICES,13/08/2024,"2,174.30",362.38,Depot,Street Cleaning,Agency Staff
0000322203,HAVI,13/08/2024,720.00,120.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000322213,SELLICK PARTNERSHIP LTD,13/08/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000322217,PERTEMPS RECRUITMENT PARTNERSHIP LTD,13/08/2024,"1,154.40",192.40,Depot,Refuse Collection,Agency Staff
0000322218,CTS RECRUITMENT,13/08/2024,767.52,127.92,Depot,Refuse Collection,Agency Staff
0000322257,REID'S PLAYGROUND MAINTENANCE LTD,13/08/2024,780.00,130.00,Environmental Health,Grounds Maintenance,Playground Improvements
0000322259,REDACTED PERSONAL INFORMATION,16/08/2024,"1,800.00",0.00,Chief Exec. Dpt,Spelthorne Youth Hub,Consultants fees
0000322269,PREMIER SERVICES,16/08/2024,614.40,102.40,Assets,Neighbourhood Serv Mgt Support,Security services
0000322271,FEDERATION OF SMALL BUSINESS,16/08/2024,"4,000.00",0.00,Chief Exec. Dpt,Share Prosperity Fund,Business Growth Plans & Innova
0000322273,PREMIER SERVICES,16/08/2024,799.80,133.30,Assets,Neighbourhood Serv Mgt Support,Security services
0000322274,VIVID RESOURCING,16/08/2024,"2,070.00",345.00,Office Services,Environmental Health Admin,Agency Staff
0000322275,VIVID RESOURCING,20/08/2024,900.00,150.00,Environmental Health,Environmental Health Admin,Agency Staff
0000322281,FIRST CALL CONTRACT SERVICES,16/08/2024,"2,249.28",374.88,Depot,Street Cleaning,Agency Staff
0000322283,G2RECRUITMENT,16/08/2024,"1,947.76",324.63,Environmental Health,Environmental Health Admin,Agency Staff
0000322291,REDACTED PERSONAL INFORMATION,16/08/2024,"2,025.00",337.50,Community Safety and Corporate Services,Corporate Publicity,Consultants fees
0000322295,MICROBEE TREE MANAGEMENT LTD,16/08/2024,948.00,158.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000322297,VIVID RESOURCING,20/08/2024,"13,747.20","2,291.20",Environmental Health,Environmental Health Admin,Agency Staff
0000322303,STAINES-UPON-THAMES BID LTD,16/08/2024,"4,800.00",800.00,Chief Exec. Dpt,Economic Development,Marketing
0000322306,MORGAN HUNT,16/08/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000322327,FLOWBIRD SMART CITY UK LTD,16/08/2024,902.52,150.42,Car Parks,Car Park Administration,Operational Equipment Maint.
0000322332,REDACTED PERSONAL INFORMATION,16/08/2024,"7,560.00","1,260.00",Chief Exec. Dpt,Economic Development,Consultants fees
0000322333,PERTEMPS RECRUITMENT PARTNERSHIP LTD,16/08/2024,"1,154.40",192.40,Depot,Refuse Collection,Agency Staff
0000322334,BTP FOODSERVICE LTD,16/08/2024,"7,040.04","1,173.34",Asset Management,Charter Building,Landlord's Subsidy
0000322345,CASTLE WATER,23/08/2024,"6,238.59",658.85,Asset Management,Various,Water Charges
0000322346,BTP FOODSERVICE LTD,16/08/2024,"7,960.86","1,326.81",Asset Management,Charter Building,Landlord's Subsidy
0000322348,CASTLE WATER,20/08/2024,"6,225.28",537.00,Asset Management,Various,Water Charges
0000322353,PRODRIVE PERSONNEL LTD,27/08/2024,625.92,104.32,Depot,Grounds Maintenance,Agency Staff
0000322355,SELLICK PARTNERSHIP LTD,16/08/2024,"2,228.51",371.42,Car Parks,Legal,Agency Staff
0000322356,LAW MORGAN LTD T/AS MORGAN LAW LTD,16/08/2024,"1,320.00",220.00,Car Parks,Procurement,Agency Staff
0000322362,PLANNING/ASSET MGMT,16/08/2024,"2,000.00",0.00,Planning,Share Prosperity Fund,Business Growth Plans & Innova
0000322461,CASTLE WATER,20/08/2024,"4,966.76",496.16,Asset Management,Various,Water Charges
0000322462,CASTLE WATER,20/08/2024,"6,350.41",707.60,Asset Management,Various,Water Charges
0000322493,SMITH AND BYFORD LIMITED,20/08/2024,"3,434.00",572.33,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000322494,SURREY RECRUITMENT SERVICES LIMITED,20/08/2024,"8,633.06","1,438.84",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff
0000322495,COMMUNITY FOUNDATION FOR SURREY,20/08/2024,"1,500.00",0.00,Accounts,Corporate Management,Community Plan
0000322497,NETWORK MERCHANTS LIMITED,20/08/2024,"1,083.14",180.52,Car Parks,Car Park Administration,Credit Card Charges
0000322499,LONDON WARRANT ENFORCEMENT,20/08/2024,"1,175.64",0.00,Office Services,Office Services,Office Services
0000322501,EVOLUTION GLASS LTD,20/08/2024,"23,913.60","3,985.60",Chief Exec. Dpt,Business Incubator,Building Works
0000322505,SPECIALIST FLEET SERVICES LIMITED,20/08/2024,"5,836.27",955.48,Depot,"SAT, Car Park Administration, Street Cleaning,  Refuse Collection, Grounds Maintenance, Neighbourhood Serv Mgt Support",Commercial Vehicle Maintenance
0000322507,SPECIALIST FLEET SERVICES LIMITED,20/08/2024,"19,451.74","3,207.49",Depot,"SAT, Car Park Administration, Street Cleaning,  Refuse Collection, Grounds Maintenance",Commercial Vehicle Maintenance
0000322508,JK BUILD LTD,20/08/2024,"4,632.00",772.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
