SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 SEP 2024,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
ACCIDENT EXCHANGE LIMITED,17/09/2024,"£7,296.24",Vehicle Insurance
AETOPIA LIMITED,01/09/2024,"£3,450.00",Storage
AGIITO LIMITED,27/08/2024,"£2,382.96",Hotel Accommodation
AIRMAX REMOTE LIMITED,31/08/2024,"£19,509.50",Software - Maintenance
AIRWAVE SOLUTIONS LIMITED,22/08/2024,"£44,119.78",Airwave
AIRWAVE SOLUTIONS LIMITED,11/09/2024,"£59,034.65",Airwave
ALAN WADKINS LIMITED TOOLSTORE,20/09/2024,"£1,710.00",Other Operational Expenses
ALLSTAR BUSINESS SOLUTIONS,21/08/2024,"£18,768.07",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,28/08/2024,"£15,885.06",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,04/09/2024,"£15,909.04",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,11/09/2024,"£15,990.10",Vehicle Fuel
AMR ELECTRICAL SERVICES LIMITED,30/08/2024,£842.12,Maintenance
AMR MECHANICAL SERVICES LIMITED,28/05/2024,"£5,995.00",Maintenance
AMR MECHANICAL SERVICES LIMITED,27/08/2024,"£1,486.93",Maintenance
ANGLIAN WATER BUSINESS,11/09/2024,"£6,284.35",Water & Sewerage
AV NICHE RECORDING SYSTEMS LIMITED,04/09/2024,£562.50,Software - Maintenance
AVR GROUP LIMITED t/a ALERTCOM,01/09/2024,"£2,015.50",Alarm Monitoring
BABERGH DISTRICT COUNCIL,12/09/2024,"£39,885.25",Business Rates
BEN HOARE BELL LLP,02/09/2024,"£1,000.00",Public Liability
BEST EVIDENCE TECHNOLOGY LIMITED,20/08/2024,"£3,080.00",External Training Course
BRITISH TELECOMMUNICATIONS PLC,09/07/2024,£678.55,Network Connectivity
BUNTINGS DEVELOPMENT LIMITED,18/09/2024,"£7,334.53",Service Charge
CBRE MANAGED SERVICES LIMITED,31/07/2024,"£2,002.00",Maintenance
CBRE MANAGED SERVICES LIMITED,31/08/2024,"£31,036.05",Grounds & Caretaking Contract
CEETECH LIMITED,19/08/2024,"£1,830.12",Maintenance
CEETECH LIMITED,31/08/2024,"£1,789.29",Building Works
CELLMARK LIMITED,31/08/2024,"£13,618.25",Forensic Analysis
CELLMARK LIMITED,15/09/2024,"£14,053.60",Forensic Analysis
CJS EVENT SOLUTIONS LIMITED (CJS UK MANAGEMENT LIMITED),20/08/2024,£910.00,Conference and Seminar Fees
COLLEGE OF POLICING,04/09/2024,"£6,754.00",External Training Course
CONSTANT COOLING LIMITED,07/08/2024,"£3,188.95",Maintenance
CONSTANT COOLING LIMITED,22/08/2024,"£2,389.70",Maintenance
CONSTANT COOLING LIMITED,03/09/2024,"£3,837.82",Maintenance
DEEPSTORE LIMITED,31/08/2024,"£6,772.90",Storage
DELL COMPUTER CORPORATION LIMITED,23/08/2024,£573.00,Hardware - purchase
DELL COMPUTER CORPORATION LIMITED,30/08/2024,"£55,400.00",Hardware
DONALD'S GARAGE,17/08/2024,£652.83,Vehicles - Spares
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,30/08/2024,"£1,554.76",Maintenance
EAST SUFFOLK COUNCIL,01/09/2024,"£1,375.00",Service Charge
EE LIMITED,03/09/2024,"£28,805.02",Mobile Phone Contract Cost
ELMSTOK LIMITED,19/08/2024,£957.00,Printing
ENTERPRISE RENT-A-CAR,06/05/2024,£547.17,Hire of Vehicles 
ENTERPRISE RENT-A-CAR,02/09/2024,£509.36,Hire of Vehicles 
EUREST SERVICE,28/08/2024,"£19,085.30",Contract Catering
EUROFINS FORENSIC SERVICES,28/08/2024,"£90,853.43",Forensic Analysis
EUROFINS FORENSIC SERVICES,27/09/2024,"£1,269.78",Forensic Analysis
EVIDEN TECHNOLOGY SERVICES LIMITED,09/07/2024,"£1,568.94",Consultants Fees
EXTERRO INC,27/08/2024,"£2,471.91",Software - Maintenance
FD LAW LIMITED,29/08/2024,"£9,000.00",Public Liability
FIREMARK LIMITED,16/08/2024,"£2,464.00",Specialist Operational Training Equipment
FMG REPAIR SERVICES LIMITED,08/08/2024,"£1,720.56",Vehicle Insurance
FMG REPAIR SERVICES LIMITED,27/08/2024,"£17,916.00",Vehicle Insurance
FMG REPAIR SERVICES LIMITED,04/09/2024,"£13,059.44",Vehicle Insurance
FORBES CLIENT ACCOUNT,13/09/2024,"£13,500.00",Public Liability
FORENSIC HEALTHCARE SERVICES LIMITED,30/08/2024,"£2,000.00",Professional Fees
FORENSIC PATHOLOGY SERVICES,09/08/2024,"£6,590.00",Pathologists Fees
FORENSIC PATHOLOGY SERVICES,16/08/2024,"£3,295.00",Pathologists Fees
FORENSIC PATHOLOGY SERVICES,30/08/2024,"£6,590.00",Pathologists Fees
FORENSIC PSYCHOLOGY SERVICES LIMITED,18/09/2024,"£2,867.50",Medical Report Fees
GAMMA TELECOM LIMITED,08/08/2024,"£8,320.61",Fixed Telephone Charges
GOODYEAR TYRES UK LIMITED,06/08/2024,"£3,111.72",Vehicles - Tyres and Tubes
GOODYEAR TYRES UK LIMITED,16/08/2024,£769.45,Vehicles - Tyres and Tubes
GOODYEAR TYRES UK LIMITED,20/08/2024,"£3,069.33",Vehicles - Tyres and Tubes
GRESHAM OFFICE FURNITURE LIMITED,13/08/2024,£596.80,"Furniture, Fixtures and Fittings"
GRESHAM OFFICE FURNITURE LIMITED,20/08/2024,"£4,403.01","Furniture, Fixtures and Fittings"
GRESHAM OFFICE FURNITURE LIMITED,27/08/2024,"£3,682.00","Furniture, Fixtures and Fittings"
GROUP 1 IPSWICH BMW,05/08/2024,"£1,183.53",Vehicle Insurance
HARROW GREEN LIMITED,28/08/2024,"£1,266.26",Removal Costs
HOME OFFICE,04/09/2024,"£9,571.12",Home Office Systems
ID CARD CENTRE LIMITED,17/05/2024,£864.95,Stationery and Office Consumables
IMIMOBILE EUROPE LIMITED,12/08/2024,"£5,173.80",Fixed Telephone Charges
INGLETON WOOD LIMITED,31/08/2024,"£11,761.89",Fees - Other
INSTITUTE OF LICENSING (EVENTS) LIMITED,03/06/2024,"£1,844.50",External Training Course
INTEGRATED WATER SERVICES LIMITED,31/08/2024,"£1,182.12",Building Statutory - Water
IPSWICH AND SUFFOLK ESTATES LIMITED,30/08/2024,£764.64,Service Charge
IPSWICH BOROUGH COUNCIL,11/03/2024,"£47,892.52",Business Rates
IRVINGS LAW SOLICITORS,06/09/2024,"£6,000.00",Public Liability
JARDINE BURY ST EDMUNDS,23/08/2024,£642.31,Vehicles - Spares
JDCC (EAST ANGLIA) LIMITED,30/08/2024,£582.80,Vehicle Workshop Equipment
JML SOFTWARE SOLUTIONS LIMITED,08/07/2024,"£3,675.00",Specialist Operational Training Equipment
JML SOFTWARE SOLUTIONS LIMITED,23/08/2024,£879.00,Software - purchase
JNE SECURITY LIMITED,19/09/2024,£980.00,Promotional material
KEY FORENSIC SERVICES LIMITED,31/07/2024,"£5,157.93",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,31/08/2024,"£7,805.87",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,08/09/2024,"£2,496.08",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,19/09/2024,"£6,815.31",Forensic Analysis
LANGUAGELINE SOLUTIONS,30/08/2024,"£16,286.25",Interpreters Fees
MASTERLORD ESTATES LIMITED,20/08/2024,"£8,475.96",Rent
MASTERLORD ESTATES LIMITED,01/09/2024,"£16,162.50",Rent
METRO ROD LIMITED,29/08/2024,"£2,848.25",Maintenance
MICRO SYSTEMATION LIMITED (MSAB),05/08/2024,"£23,038.24",Software - Maintenance
MID SUFFOLK DISTRICT COUNCIL,12/09/2024,"£2,320.35",Business Rates
MITIE CARE AND CUSTODY LIMITED,01/09/2024,"£71,914.28",General FME Contract
MOBAS,06/08/2024,"£12,206.00",External Advertising
MOUNTAIN HEALTHCARE LIMITED,01/08/2024,"£118,991.74",FME Contract
MOUNTAIN HEALTHCARE LIMITED,01/09/2024,"£59,495.87",FME Contract
NATASHA RUSSELL LIMITED,09/08/2024,£820.00,Conference and Seminar Fees
NATIONAL CRIME AGENCY,13/08/2024,£870.00,External Training Course
NORFOLK COUNTY COUNCIL,24/08/2024,"£1,611.32",Accident Reports
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",31/08/2024,"£1,097.45",General FME Contract
NPOWER LIMITED,16/09/2024,"£80,970.20",Electricity
NPS PROPERTY CONSULTANTS LIMITED,16/08/2024,"£3,050.00",Consultant Estates Fees
OECONNECTION,31/08/2024,"£21,964.55",Vehicles - Spares
ORWELL MOTORCYCLES LIMITED,29/08/2024,"£2,456.64",Vehicles - Tyres and Tubes
PITNEY BOWES SOFTWARE EUROPE LIMITED,24/08/2024,"£1,600.00",Postage Costs
QUADIENT UK LIMITED,28/08/2024,"£1,000.00",Postage Costs
R G CARTER CAMBRIDGE LIMITED,15/08/2024,"£7,010.66",Maintenance
R G CARTER CAMBRIDGE LIMITED,28/08/2024,"£2,336.30",Building Works
RADIOLOGY DOMAIN LIMITED,10/09/2024,"£2,000.00",Doctors Statements
ROYAL MAIL,05/08/2024,£955.00,Postage Costs
RSG ENGINEERING LIMITED,06/08/2024,£566.50,Vehicle Insurance
RSP RAIL TRAVEL ACCOUNT,16/08/2024,"£2,025.50",Detained Persons - Other Expenses
SBFM LIMITED,13/05/2024,"£4,492.60",Cleaning Contract
SBFM LIMITED,01/08/2024,"£50,890.44",Cleaning Contract
SEED BROTHERS (EAST ANGLIA) LIMITED,15/08/2024,£533.70,Vehicle Cleaning
SERCO LIMITED EMERGENCY PLANNING COLLEGE,27/08/2024,"£2,010.00",External Training Course 
SONIC COMMUNICATIONS LIMITED,13/08/2024,"£1,899.00",Specialist Operational Equipment
STANLEY TEE LLP CLIENT ACCOUNT,25/09/2024,"£35,000.00",Public Liability
SUFFOLK COUNTY COUNCIL,06/08/2024,"£55,000.00",Partnership Grants
SUFFOLK COUNTY COUNCIL,09/08/2024,"£1,925,723.09",Building Works
SUFFOLK COUNTY COUNCIL,12/08/2024,"£185,648.00",Capital Expenditure
SUFFOLK COUNTY COUNCIL,14/08/2024,"£10,514.40",Other Grants and External Contributions
SUFFOLK COUNTY COUNCIL,19/08/2024,"£225,579.00",Service Charge
SUFFOLK COUNTY COUNCIL,28/08/2024,"£271,469.92",Service Charge
SUFFOLK COUNTY COUNCIL,04/09/2024,£780.00,Other Operational Expenses
THE AUTOMOBILE ASSOCIATION,19/08/2024,"£4,539.20",Vehicle Recovery Costs
THE AUTOMOBILE ASSOCIATION,22/08/2024,£598.15,Vehicle Repairs
THE PSYCHOLOGY CONSULTANCY (UK) LIMITED,30/08/2024,"£19,519.17",Psychology Services
THE WINDSCREEN COMPANY,04/09/2024,£615.00,Vehicle Insurance
TOTAL ENERGIES GP,12/09/2024,"£8,047.35",Gas
TREBLE 5 TREBLE 1 LIMITED,16/08/2024,"£5,420.75",Other Partnerships
TREBLE 5 TREBLE 1 LIMITED,28/08/2024,"£5,420.75",Other Partnerships
UNIPAR SERVICES,12/08/2024,"£1,064.00",Maintenance Roads Policing Equipment
UNIPAR SERVICES,20/08/2024,"£1,309.00",Specialist Operational Equipment
UNITED KINGDOM ACCREDITATION SERVICE,19/08/2024,"£25,856.00",Accreditation Fees
VOHKUS LIMITED,07/08/2024,£684.87,Hardware
VOLKSWAGEN GROUP UK LIMITED,23/05/2024,£537.56,Vehicles - Spares
VOLKSWAGEN GROUP UK LIMITED,31/05/2024,"£3,710.36",Vehicles - Spares
VOLKSWAGEN GROUP UK LIMITED,20/08/2024,£536.84,Vehicles - Spares
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,08/08/2024,"£1,570.05",SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,14/08/2024,"£4,571.74",SOC Consumables
WEETING TYRES LIMITED T/A PAGE AND BIRD,05/08/2024,£985.99,Vehicles - Tyres and Tubes
WEIGHTMANS LLP,27/08/2024,"£1,449.00",Cyber Insurance
WEST SUFFOLK COUNCIL,14/03/2024,"£90,090.00",Business Rates
WIRELESS LOGIC LIMITED,30/08/2024,"£7,141.52",Mobile Phone Contract Cost
ZEST RECYCLE LIMITED,01/08/2024,"£4,375.16",Waste Contract 
ZEST RECYCLE LIMITED,01/08/2024,"£6,246.01",Waste Contract
ZOE LODRICK LIMITED,26/05/2024,£974.64,Internal Training Courses
