UID,Council,Contract Status,Name,Classification,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date,Annual Contract Value (average),Value,Supplier Name,Company Registration Number,Postal Code,Supplier Type,Customer Name
10560, Trafford Borough Council,Live (On-going),Trafford Council Provision of E-Cigarettes & Associated Services,151514 - Healthcare - Public Health - Specialist Services,RBS - Low/Med - Simple (RFQ), Contract,01/08/2021,31/07/2024,31/07/2026,,"�90,900.00",Pillbox38 (UK) Ltd T/A Totally Wicked,-,x,-,"STAR, Trafford Borough Council, TRAFF - Integrated Commissioning"
10876, Trafford Borough Council,Live (One Off),Smoking Cessation Service for People with Severe Mental Illness,151514 - Healthcare - Public Health - Specialist Services,RBS - Low/Med - Simple (RFQ), Contract,01/10/2022,30/09/2023,30/09/2023,,"�49,000.00",Bluesci Support,-,WA15 7JU,-,"STAR, Trafford Borough Council, TRAFF - Integrated Commissioning"
14008, Trafford Borough Council,Live (One Off),Landscaping/Nature Architectural Services,"391000 - Works - Construction, Repair & Maintenance - Architect",RBS - Low - Quick Quote, Contract,23/11/2022,23/11/2023,-,"�20,000.00","�20,000.00",Barnes Walker Ltd,-,M22 4WT,-,"Trafford Borough Council, TRAFF - Place"
11969, Trafford Borough Council,Live (One Off),Civic Quarter DHN Project Management,150000 - Consultancy,RBS - Low - Quick Quote, Contract,24/11/2022,09/06/2023,-,"�19,000.00","�19,000.00",Varsity Consulting,-,PE27 3WS,-,"Trafford Borough Council, TRAFF - Place"
10732, Trafford Borough Council,Live (One Off),PaSH GM (PARTNERSHIP) Contract - Trafford,310000 - Healthcare,Procured by Other, Contract,01/07/2022,30/06/2024,30/06/2024,"�82,814.00","�165,628.00",BHA for Equality,-,M15 4AE,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
10569, Trafford Borough Council,Live (On-going),Provision of Community Weight Management Groups (Lot 1) (Tier 2),151514 - Healthcare - Public Health - Specialist Services,RBS - Low/Med - Simple (RFQ), Contract,01/07/2021,23/06/2024,30/06/2026,"�40,893.00","�159,315.00",Miles Bramwell Executive Services Ltd t/a Slimming World,-,DE55 4RF,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
10569, Trafford Borough Council,Live (On-going),"Provision of a Weight Management Service that is specifically targeted at Men, or is Male Only (Lot 2) (Tier 2)",151514 - Healthcare - Public Health - Specialist Services,RBS - Low/Med - Simple (RFQ), Contract,01/07/2021,23/06/2024,30/06/2026,"�11,706.00","�49,130.00",Foundation 92,1180246,M28 3NJ,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
7919, Trafford Borough Council,Live (On-going),Provision of Trafford Healthy Lifestyle Services - Age UK,151514 - Healthcare - Public Health - Specialist Services,RBS - Low/Med - Simple (RFQ), Contract,01/04/2020,31/03/2024,31/03/2023,"�39,000.00","�39,000.00",Age UK Trafford,-,x,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
7919, Trafford Borough Council,Live (On-going),Provision of Trafford Healthy Lifestyle Services - Liva,151514 - Healthcare - Public Health - Specialist Services,RBS - Low/Med - Simple (RFQ), Contract,01/04/2020,31/03/2024,31/03/2023,"�80,000.00","�240,000.00",Liva Healthcare,-,W1U 6TS,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
7919, Trafford Borough Council,Live (On-going),Provision of Trafford Healthy Lifestyle Services - Manchester Deaf Centre,151514 - Healthcare - Public Health - Specialist Services,RBS - Low/Med - Simple (RFQ), Contract,01/04/2020,31/03/2024,31/03/2023,"�15,000.00","�45,000.00",Manchester Deaf Centre,-,M13 9GH,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
7919, Trafford Borough Council,Live (On-going),Provision of Trafford Healthy Lifestyle Services - Pakistani Resource Centre,151514 - Healthcare - Public Health - Specialist Services,RBS - Low/Med - Simple (RFQ), Contract,01/04/2020,31/03/2024,31/03/2023,"�20,196.00","�60,588.00",Pakistani Resource Centre,-,M20 6FJ,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
7919, Trafford Borough Council,Live (On-going),Provision of Trafford Healthy Lifestyle Services - Unlimited Potential,151514 - Healthcare - Public Health - Specialist Services,RBS - Low/Med - Simple (RFQ), Contract,01/04/2020,31/03/2024,31/03/2023,"�43,835.00","�131,505.00",Unlimited Potential,-,M6 6FP,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
7919, Trafford Borough Council,Live (On-going),Provision of Trafford Healthy Lifestyle Services - Voice of BME - Trafford,151514 - Healthcare - Public Health - Specialist Services,RBS - Low/Med - Simple (RFQ), Contract,01/04/2020,31/03/2024,31/03/2023,"�21,000.00","�63,000.00",Voice of BME - Trafford,-,M16 0PQ,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
10939, Trafford Borough Council,Live (One Off),Provision of Attachment and Trauma Responsive Services.,401001 - Social Community Care Supplies & Services - Children - Community Based Services,Exemption, Contract,01/12/2022,30/11/2023,-,"�24,999.00","�24,999.00",Changing Minds UK,-,WA1 1PG,-,"STAR, TRAFF - Children's Services"
11865, Trafford Borough Council,Live (One Off),Developing a Private wireless network for Trafford Council CCTV,"270000 - Information Communication Technology, 271200 - Information Communication Technology - Hardware",RBS - Med/High - Advanced (Open), Contract,01/10/2022,31/03/2023,-,,"�163,875.00",Ingenitech Ltd,-,SK8 5AT,-,"STAR, TRAFF - Place"
11925, Trafford Borough Council,Live (On-going),Support/Maintenance for the voice platform and core switches,"270000 - Information Communication Technology, 271501 - Information Communication Technology - Services",Call Off (External), Call-off Contract,01/08/2022,31/07/2023,-,,"�104,000.00",GCI Network Soultions Ltd,4082862,BH17 0RU,-,"STAR, TRAFF - Finance and Systems"
11979, Trafford Borough Council,Live (On-going),"Data Warehouse Professional Services, Managed Services and Centre of Excellence support",271501 - Information Communication Technology - Services,Call Off (External), Call-off Contract,15/11/2022,14/11/2023,-,,"�169,762.00",ANS Group Ltd,-,x,-,"STAR, TRAFF - Finance and Systems"
14028, Trafford Borough Council,Live (One Off),The Riddings,150000 - Consultancy,Call Off (External), Contract,14/12/2022,14/06/2023,-,"�20,700.00","�20,700.00",Savills (UK) Ltd,-,W1G 0JD,-,"Trafford Borough Council, TRAFF - Place"
6514, Trafford Borough Council,Live (One Off),Altrincham Golf Driving Range - Replacement of Perimeter Ball-Stop Netting,330000 - Sports & Playground Equipment & Maintenance,Mini Competition (External), Call-off Contract,09/11/2022,31/01/2023,-,�0.00,"�28,422.00",Kaberry Construction ,-,OL10 3JY,-,"Trafford Borough Council, TRAFF - Place"
10762, Trafford Borough Council,Live (On-going),Trafford Safe Accommodation - Refuge and Floating Support,151515 - Healthcare - Public Health - Not Elsewhere Classified,Procured by Other, Contract,01/04/2022,31/03/2027,31/03/2027,"�342,990","�1,714,950.00",Trafford Domestic Abuse Services,-,M32 0PS,-,"Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children, Families and Wellbeing"
10944, Trafford Borough Council,Live (On-going),Provision of 5 Self Contained Flats in a Supported Accommodations  Service in  Flixton,401001 - Social Community Care Supplies & Services - Children - Community Based Services,Call Off (External), Contract,16/12/2019,15/12/2022,-,,"�965,912.00",Mosscare St Vincent�s Housing Group (MSV),-,M32 0RS,-,"STAR, TRAFF - Children, Families and Wellbeing"
11916, Trafford Borough Council,Live (One Off),Trafford Civic Quarter Heat Network Feasibility Study - Technical Advisor,150000 - Consultancy,RBS - Low/Med - Simple (RFQ), Contract,08/12/2022,07/06/2023,-,"�69,574.00","�69,574.00",Aecom Limited ,-,E1 8FA,-,"Trafford Borough Council, TRAFF - Place"
10934, Trafford Borough Council,Live (On-going),6 Tenants in Supported Accommodation (Church Road),321000 - Social Community Care Supplies & Services - Adult,Exemption, Contract,10/01/2023,09/01/2025,-,"�305,199.24","�305,199.20",Autism Initiatives,2436777,L30 4XR,-,"Trafford Borough Council, TRAFF - Adults' Services"
9640, Trafford Borough Council,Live (On-going),Altrincham Public Realm � Greenwood Street,"391465 - Works - Construction, Repair & Maintenance - Roads - Reconstruction & Resurfacing",Call Off (External), Contract,01/07/2022,01/01/2024,-,,"�1,869,204.00",Alined Construction LTD,-,M14 7DW,-,STAR
10936, Trafford Borough Council,Live (On-going),North West Regional Supported and Independent Living Service (SaILS)-Trafford,321100 - Social Community Care Supplies & Services - Children,Procured by Other, Flexible Purchasing System,01/01/2020,31/12/2029,31/03/2023,,�0.00,Various Suppliers,-,Various,-,"STAR, TRAFF - Children, Families and Wellbeing"
11939, Trafford Borough Council,Live (On-going),Trafford Prepaid Cards,200000 - Financial Services,Call Off (External), Call-off Contract,01/11/2022,31/10/2027,-,"�150,000.00","�150,000.00",EML PAYMENTS EUROPE LIMITED,-,B1 2LP,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
14054, Trafford Borough Council,Live (On-going),MEP for Altrincham Leisure Centre Refurbishment,150000 - Consultancy,Call Off (External), Call-off Contract,01/02/2023,01/08/2023,-,"�27,000.00","�27,000.00",TACE Manchester Limited,-,SK8 6QL,-,"Trafford Borough Council, TRAFF - Place"
11841, Trafford Borough Council,Live (On-going),AGMA Winter Service Weather Forecasting  - Trafford,182100 - Environmental Services - Weather Forecasts,RBS - Low/Med - Simple (RFQ), Contract,15/10/2022,14/04/2025,14/04/2026,"�6,560.86","�19,682.58",MetDesk Ltd,-,HP22 6BN,-,"STAR, TRAFF - Place"
10977, Trafford Borough Council,Live (On-going),PHE Scientific Call Off under HIV Self Sampling Service Framework ESPO 3173_19A,151510 - Healthcare - Public Health,,Please Select,01/01/2023,31/03/2025,-,,"�8,145.53",SH:24,-,SE1 7JB,-,"STAR, Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing, TRAFF - Finance and Systems, TRAFF - Governance and Community Strategy, TRAFF - Integrated Commissioning, TRAFF - Place, TRAFF - Strategy and Resources"
14016, Trafford Borough Council,Live (One Off),Children's Services Consultant,151900 - Consultancy - Management,Exemption, Contract,24/11/2022,23/11/2024,-,"�24,300.00","�48,600.00",Grant Public Consultancy Ltd,-,FY5 1AP,-,TRAFF - Children's Services
8976, Trafford Borough Council,Live (On-going),Money Management for Vulnerable Adults,200000 - Financial Services,RBS - Low/Med - Simple (RFQ), Contract,01/07/2021,01/07/2025,-,"�10,000.00","�40,000.00",the Money Carer Foundation,-,M33 7JQ,-,"TAME - Exchequer, TRAFF - Finance and Systems"
3076, Trafford Borough Council,Live (On-going),Supported Living Service for Adults with a Learning Disability � 10 Properties,321000 - Social Community Care Supplies & Services - Adult,Mini Competition (External), Contract,01/04/2016,31/03/2018,-,"�1,639,898.03","�6,589,546.00",Future Directions,-,OL9 9XA,-,"Trafford Borough Council, TRAFF - Adults' Services"
8714, Trafford Borough Council,Live (On-going),Trafford Social Care Framework,261413 - Human Resources - Temporary & Agency Staff - Professional,OJEU Tender, Framework Agreement,21/06/2021,20/06/2024,-,"�5,100,000.00","�15,300,000.00",(multiple),-,-,-,"Trafford Borough Council, TRAFF - Children's Services"
10850, Trafford Borough Council,Live (On-going),Supported Living Services at Lorraine Road ,321000 - Social Community Care Supplies & Services - Adult,Call Off (External), Contract,01/04/2023,31/03/2025,-,"�329,852.00","�329,852.00",ICRIT Healthcare Ltd,-,BL6 5PP,-,"Trafford Borough Council, TRAFF - Adults' Services"
10005, Trafford Borough Council,Live (On-going),Intensive Mentoring for Children and Young People,321100 - Social Community Care Supplies & Services - Children,RBS - Med/High - Advanced (Open), Contract,01/04/2020,30/09/2023,-,,"�253,654.00",Salford Foundation,-,M5 4BD,-,"STAR, TRAFF - Children, Families and Wellbeing"
14083, Trafford Borough Council,Live (One Off),Berry Recruitment - Trafford Council,261300 - Human Resources - Recruitment & Assessment,RBS - Low - Quick Quote, Contract,08/03/2023,07/03/2024,07/03/2024,"�24,999.00","�24,999.00",Berry Recruitment Ltd,-,AL3 6PQ,-,"Trafford Borough Council, TRAFF - Strategy and Resources"
10436, Trafford Borough Council,Live (On-going),LGBT Specific Youth Provision ,401001 - Social Community Care Supplies & Services - Children - Community Based Services,Exemption, Contract,01/04/2020,31/03/2024,31/03/2024,,"�73,500.00",The Proud Trust,-,M15 6SE,-,"STAR, TRAFF - Children, Families and Wellbeing"
14065, Trafford Borough Council,Live (One Off),5 x AV1 Robots and support ,171111 - Education - Audio Visual,Exemption, Contract,28/02/2023,28/02/2026,-,"�9,045.00","�27,135.00",No Isolation Limited ,-,EC1V 9EY,-,"Trafford Borough Council, TRAFF - Children's Services"
10427, Trafford Borough Council,Live (On-going),Flexible Purchasing System for  Adoption Support Services  (Trafford),321100 - Social Community Care Supplies & Services - Children,OJEU Tender, Flexible Purchasing System,01/02/2023,31/01/2027,31/01/2027,,"�2,500,000.00",Various - see STAR for details,-,Various,-,"STAR, TRAFF - Children, Families and Wellbeing"
10910, Trafford Borough Council,Live (One Off),Reducing Parental Conflict (RPC) Coordinator,321100 - Social Community Care Supplies & Services - Children,RBS - Low/Med - Simple (RFQ), Contract,01/01/2023,31/03/2024,-,,"�27,000.00",Trafford Community Collective,-,M32 0LG,-,"STAR, TRAFF - Children, Families and Wellbeing"
10918, Trafford Borough Council,Live (On-going),Consultant-Pilot Programme,170000 - Education,RBS - Low/Med - Simple (RFQ), Contract,01/10/2022,01/10/2023,01/10/2023,,"�8,400.00",Anewarc Limited,-,CH2 3JG,-,"STAR, TRAFF - Children, Families and Wellbeing"
10304, Trafford Borough Council,Live (On-going),Domestic Abuse Support for Children and Young People  ,321100 - Social Community Care Supplies & Services - Children,RBS - Low/Med - Simple (RFQ), Contract,01/01/2021,30/09/2023,-,,"�83,199.85",Trafford Domestic Abuse Services,-,M32 0PS,-,"STAR, TRAFF - Children, Families and Wellbeing"
14093, Trafford Borough Council,Live (One Off),Parking Enforcement Services,201400 - Financial Services - Council Tax & Business Rates,Modification, Call-off Contract,01/04/2023,01/04/2024,-,"�848,614.00","�848,614.00",Marston Holdings Ltd,-,CM16 9EB,-,"Trafford Borough Council, TRAFF - Finance and Systems"
14023, Trafford Borough Council,Live (On-going),"Property Management for the Grafton Centre, Altrincham",191700 - Facilities & Management Services - Property Management,Call Off (External), Framework Agreement,12/12/2022,12/12/2025,-,"�30,000.00","�90,000.00",Legat Owen,-,CH1 1RQ,-,"Trafford Borough Council, TRAFF - Place"
14114, Trafford Borough Council,Live (On-going),Treasury Management Services - Trafford ,200000 - Financial Services,OJEU Tender, Call-off Contract,01/04/2023,31/03/2026,31/03/2027,"�15,000.00","�60,000.00",Arlingclose Limited ,-,CV37 6AH,-,TRAFF - Finance and Systems
6421, Trafford Borough Council,Live (On-going),Trafford Enforcement Agency and Debt Recovery Services,201400 - Financial Services - Council Tax & Business Rates,Call Off (External), Call-off Contract,01/11/2019,31/10/2023,-,"�471,000.00","�1,884,000.00",Jacobs Enforcement,-,CH41 4PE,-,"Trafford Borough Council, TRAFF - Finance and Systems"
13018, Trafford Borough Council,Live (One Off),Essential Parent,321100 - Social Community Care Supplies & Services - Children,Exemption, Contract,10/03/2023,31/03/2026,-,,"�81,000.00",The Essential Parent Company Limited,-,CB4 0WS,-,"STAR, TRAFF - Children, Families and Wellbeing"
14126, Trafford Borough Council,Live (One Off),Food Hygiene Inspections,261300 - Human Resources - Recruitment & Assessment,RBS - Low - Quick Quote, Contract,01/04/2023,31/03/2024,-,"�45,989.00","�45,989.00",(multiple),-,-,-,"Trafford Borough Council, TRAFF - Adults' Services"
14133, Trafford Borough Council,Live (One Off),Trading Standards Officer,261300 - Human Resources - Recruitment & Assessment,RBS - Low - Quick Quote, Contract,17/05/2023,21/06/2023,-,"�10,800.00","�10,800.00",Kenyon Block Consultants Ltd,-,EN 11 8TL,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
9910, Trafford Borough Council,Live (One Off),Knotweed Removal Works,"390000 - Works - Construction, Repair & Maintenance",RBS - Low/Med - Simple (RFQ), Contract,17/05/2023,14/06/2023,-,,"�35,377.00",LEYDEN KIRBY ASSOCIATES LIMITED (THE LK GROUP),0455 7784,M26 2ZS,-,TRAFF - Place
9856, Trafford Borough Council,Live (One Off),Stretford Future High Streets Public Realm ,"391300 - Works - Construction, Repair & Maintenance - Open Spaces",Mini Competition (Internal), Call-off Contract,02/05/2023,03/07/2023,-,,"�4,445,362.00",A E Yates,-,BL6 4SB,-,"Trafford Borough Council, TRAFF - Place"
11744, Trafford Borough Council,Live (On-going),Homelessness Case Management System,271516 - Information Communication Technology - Services - Cloud Services,Call Off (External), Call-off Contract,03/04/2022,02/04/2024,02/04/2026,"�9,700.00","�19,400.00",Locata (Housing Services) Limited,4419315,EC1Y 8YZ,-,TRAFF - Strategy and Resources
14141, Trafford Borough Council,Live (One Off),Trafford - Marketing Development Arm,191000 - Facilities & Management Services - Advertising,RBS - Low - Quick Quote, Contract,01/02/2023,01/02/2024,-,"�51,000.00","�51,000.00",Squad,-,M4 6LN,-,"Trafford Borough Council, TRAFF - Place"
14149, Trafford Borough Council,Live (One Off),TfGM and Trafford Estates Projects,150000 - Consultancy,Call Off (External), Call-off Contract,05/06/2023,05/06/2024,-,"�70,000.00","�70,000.00",Morland Consultancy LLP,-,LL13 7YT,-,"Trafford Borough Council, TRAFF - Place"
9865, Trafford Borough Council,Live (On-going),Chapel Road � RIBA Stages 3 & 4,"390000 - Works - Construction, Repair & Maintenance",RBS - Low/Med - Simple (RFQ), Contract,29/05/2023,22/12/2023,-,,"�164,267.00",J Greenwood Builders Ltd,1017470,M24 1SW,-,TRAFF - Place
15000, Trafford Borough Council,Live (One Off),Interim Recruitment,261300 - Human Resources - Recruitment & Assessment,RBS - Low - Quick Quote, Contract,24/04/2023,24/04/2024,-,"�25,000.00","�25,000.00",Park Avenue Recruitment Limited,-,EC1V 9EE,-,"STAR, TRAFF - Place"
15004, Trafford Borough Council,Live (One Off),Temporary Storage Solution at Chapel Road,191510 - Facilities & Management Services - Portable Building Hire,RBS - Low - Quick Quote, Contract,01/05/2023,01/05/2025,-,"�23,725.00","�23,725.00",Wernick Refurbished Buildings,-,SS11 8QG,-,TRAFF - Place
13002, Trafford Borough Council,Live (On-going),Short Break Additional Capacity  (5 - 11y),141000 - Clothing - Childrens & Adults,RBS - Low/Med - Simple (RFQ), Contract,01/06/2023,31/08/2024,-,,"�9,285.00",Sport Works (Manchester & Cheshire) Ltd,9269806,WA4 3DU,-,"STAR, TRAFF - Children, Families and Wellbeing"
9879, Trafford Borough Council,Live (On-going),Design of Additional Teaching Accommodation to support 8FE requirements ,150000 - Consultancy,Call Off (External), Framework Agreement,03/04/2023,01/10/2024,-,"�669,992.55","�669,992.60",Lancaster Maloney Martin,-,SK7 5ER,-,TRAFF - Children's Services
9913, Trafford Borough Council,Live (One Off),Disabled Facility Grant 18193- Abacus ,"390000 - Works - Construction, Repair & Maintenance",Exemption, Contract,02/03/2023,02/03/2024,-,"�15,000.00","�15,000.00",Gainsborough Healthcare Group,-,B98 7ST,-,TRAFF - Adults' Services
9888, Trafford Borough Council,Live (One Off),GD3 Bus Stop Improvements,"391400 - Works - Construction, Repair & Maintenance - Roads, 391410 - Works - Construction, Repair & Maintenance - Roads - Construction",Exemption, Contract,15/05/2023,31/12/2023,-,"�17,350.00","�17,350.00",Tetra Tech Limited,-,M17 1HH,-,TRAFF - Place
9981, Trafford Borough Council,Live (On-going),SERVICE LEVEL AGREEMENT RELATING TO THE PROVISION OF STRAY DOG SERVICES,181500 - Environmental Services - Animal Services - Pest & Animal Control,Procured by Other, Contract,01/04/2023,31/03/2025,-,"�3,600.00","�7,200.00",Salford City Council,-,M27 5FJ,-,"Trafford Borough Council, TRAFF - Place"
6381, Trafford Borough Council,Completed,Treasury Management (Trafford) Advisory Services to all Association of Greater Manchester Authorities (�AGMA�) and AGMA Associate Authorities,150000 - Consultancy,Call Off (External), Call-off Contract,01/04/2019,31/03/2023,-,"�14,500.00","�60,100.00",Link Treasury Services Limited,2652033,EC2V 7NQ,-,"Trafford Borough Council, TRAFF - Strategy and Resources"
10078, Trafford Borough Council,Completed,Supported Living Service 5,321000 - Social Community Care Supplies & Services - Adult,Call Off (Internal), Contract,01/05/2020,31/03/2023,-,"�164,706.57","�329,413.10",FitzRoy,2699902,GU32 2JD,-,"Trafford Borough Council, TRAFF - Adults' Services"
9322, Trafford Borough Council,Completed,Supply of Gas,370000 - Utilities,Call Off (External), Call-off Contract,01/04/2021,31/03/2023,-,"�1,200,000.00","�1,654,452.00",Corona Energy Retail 4 Limited,2798334,WD18 8YA,-,"Trafford Borough Council, TRAFF - Strategy and Resources"
5003, Trafford Borough Council,Completed,Metered HH and NHH,"370000 - Utilities, 371000 - Utilities - Electricity",Call Off (External), Call-off Contract,01/04/2019,31/03/2023,-,"�1,338,033.63","�4,014,101.00",Npower,3653277,WF17 9NE,-,"Trafford Borough Council, TRAFF - Place"
4380, Trafford Borough Council,Completed,Locta Tracing Solution Software 1,271440 - Information Communication Technology - Software,Exemption, Contract,01/04/2018,31/03/2023,-,"�2,800.00","�14,000.00",Magnet Solutions Ltd,-,SK8 2EA,-,"Trafford Borough Council, TRAFF - Strategy and Resources"
8525, Trafford Borough Council,Completed,FIS (Family Information Service) Hub,270000 - Information Communication Technology,Call Off (External), Contract,01/04/2020,31/03/2023,-,"�14,518.00","�43,554.00",Idox Software,3984070,RG7 4SA,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
8587, Trafford Borough Council,Completed,Adult Social Care Hub,270000 - Information Communication Technology,Call Off (External), Call-off Contract,22/06/2020,31/03/2023,-,"�10,082.00","�28,565.67",Idox Software,3984070,RG7 4SA,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
4093, Trafford Borough Council,Completed,Appropriate Adult Service - Trafford,"321100 - Social Community Care Supplies & Services - Children, 401603 - Social Community Care Supplies & Services - Children - Youth Services - Transition Between Children & Adults",OJEU Tender, Contract,01/06/2018,31/03/2023,31/03/2023,"�122,441.92","�367,325.80",Child Action North West,-,BB1 9LL,-,"Trafford Borough Council, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing"
9542, Trafford Borough Council,Completed,Willows Primary School � Expansion Scheme,"390000 - Works - Construction, Repair & Maintenance",Mini Competition (External), Contract,10/01/2022,09/06/2023,-,"�245,000.00","�421,611.90",Conlon Construction,708997,PR5 6BE,-,"STAR, TRAFF - Children's Services"
10442, Trafford Borough Council,Completed,The Provision of Home Library Services,171060 - Education - Library Services,RBS - Low/Med - Simple (RFQ), Contract,01/04/2021,31/03/2023,31/03/2023,"�27,500.00","�27,500.00",Age UK Trafford,-,x,-,"STAR, TRAFF - Adults' Services"
10765, Trafford Borough Council,Completed,Church Road,321000 - Social Community Care Supplies & Services - Adult,Exemption, No Contract,10/01/2022,09/01/2023,-,"�176,877.13","�176,877.10",Autism Initiatives,2436777,L30 4XR,-,"STAR, TRAFF - Adults' Services"
11919, Trafford Borough Council,Completed,Housing Need and Demand Assessment,150000 - Consultancy,RBS - Low/Med - Simple (RFQ), Contract,01/09/2022,31/03/2023,31/03/2023,,"�24,999.00",arc4 Limited,6205180,M33 2DY,-,Trafford Borough Council
10786, Trafford Borough Council,Completed,Trafford Community Collective,151514 - Healthcare - Public Health - Specialist Services,Exemption, Contract,01/04/2021,31/03/2023,-,,"�75,000.00",Trafford Community Collective,-,M32 0LG,-,"STAR, TRAFF - Adults' Services"
11942, Trafford Borough Council,Completed,Temporary Procurement Resource,261300 - Human Resources - Recruitment & Assessment,Call Off (External), Call-off Contract,19/09/2022,31/03/2023,31/03/2023,"�102,000.00","�102,000.00",Castlefield Recruitment,-,M2 3BB,-,"STAR, TRAFF - Finance and Systems"
11961, Trafford Borough Council,Completed,Professor Horwath - Improving Safeguarding Outcomes (Trafford children and young people),150000 - Consultancy,Exemption, Contract,31/01/2022,31/01/2023,31/01/2023,"�13,000.00","�13,000.00",Jan Horwath Child Welfare Consultant,-,S11 9HJ,-,Trafford Borough Council
10639, Trafford Borough Council,Completed,VCFSE Family Worker,321100 - Social Community Care Supplies & Services - Children,RBS - Low/Med - Simple (RFQ), Contract,01/10/2021,31/03/2023,-,,"�74,998.50",(multiple),-,-,-,"STAR, TRAFF - Children, Families and Wellbeing"
10802, Trafford Borough Council,Completed,Winter Monies,321000 - Social Community Care Supplies & Services - Adult,Exemption, Contract,31/03/2022,31/03/2023,-,"�80,000.00","�80,000.00",Abuka Limited ,-,SK4 3GN,-,"Trafford Borough Council, TRAFF - Adults' Services"
10462, Trafford Borough Council,Completed,Locally Commissioned Services - Trafford Council,"310000 - Healthcare, 311100 - Healthcare - Counselling, 311200 - Healthcare - Drugs & Pharmacy Services, 319999 - Healthcare - Not Elsewhere Classified, 151513 - Healthcare - Public Health - GP Surgery Services, 151515 - Healthcare - Public Health - Not Elsewhere Classified, 151514 - Healthcare - Public Health - Specialist Services, 311600 - Healthcare - Services, 151511 - Healthcare - Social Policy",Local Services, Contract,01/04/2022,31/03/2023,31/03/2023,"�377,715.00","�377,715.00",Any GP or Pharmacy within the Borough of Trafford signing up to provide Locally Commissioned Services,-,M32 0TH,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
11790, Trafford Borough Council,Completed,COBP Survey Commission - Specialist Survey at Sale Waterside,150000 - Consultancy,RBS - Low/Med - Simple (RFQ), Contract,13/12/2022,30/04/2023,30/04/2023,,"�195,923.00",Oxhey Hall Consulting Ltd,-,WD24 7ND,-,"Trafford Borough Council, TRAFF - Place"
9762, Trafford Borough Council,Completed,Grafton Centre - Upgrade Works,"390000 - Works - Construction, Repair & Maintenance",RBS - Low/Med - Simple (RFQ), Contract,24/01/2023,24/03/2023,-,,"�51,974.74",Armstrong Projects Ltd,-, WA14 4DW,-,"Trafford Borough Council, TRAFF - Place"
11818, Trafford Borough Council,Completed,Trafford High / Brook Road,150000 - Consultancy,Call Off (External), Call-off Contract,28/10/2022,17/03/2023,17/03/2023,,"�116,865.00",WSP UK Limited,-,WC2A 1AF,-,"Trafford Borough Council, TRAFF - Place"
10992, Trafford Borough Council,Completed,Think Equal Programme ,170000 - Education,Exemption, Contract,28/02/2023,31/03/2023,31/03/2023,,"�35,040.00",Think Equal ,-,W11 3SL ,-,"STAR, TRAFF - Children, Families and Wellbeing"
13003, Trafford Borough Council,Completed,Harbour Healthcare Ltd,321000 - Social Community Care Supplies & Services - Adult,Procured by Other, No Contract,01/04/2022,31/03/2023,-,"�13,800.00","�13,800.00",Harbour Healthcare  Ltd ,8062705,SK4 1RD,-,TRAFF - Adults' Services
