Organisation Name,Organisation Code,Organisational Unit,Service Category Label,Procurement Category,Supplier Name,Supplier Other ID,Payment Date,Transaction Number,Amount,Purpose
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Management,Professional expenses,SWITCHSHOP LTD,SWI001,16/05/2023,209177,15215.97,INDOOR WIRELESS AP
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,HANDICARE ACCESSIBILITY LTD,FRE002,16/05/2023,209839,1760.00,GRANT REF 220126 FINAL PAYMENT
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Vehicle Parking Off Street,Supplies general,CAPITA PROPERTY & INFRASTRUCTURE LTD,CAP002,16/05/2023,209920,686.00,A4 SEASON TICKETS
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Sustainability,Intiatives,CUMBRIA WILDLIFE TRUST,CUM077,16/05/2023,209929,3000.00,EDC LAND ASSESS PHASE 1
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Auto door mount,GEZE UK LIMITED,GEZ001,16/05/2023,209938,599.32,TIC -PCB BOARD
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,Play areas - maintenance,HAGS SMP,HAG001,16/05/2023,209968,3519.00,SWINGO RED
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Legal Services,Agency Staff,SELLICK PARTNERSHIP LTD,SEL006,16/05/2023,209009,1031.63,TIME SHEET WE2.4.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Web Services,CIVICA UK LTD,CIV002,16/05/2023,207743,3565.67,CARTOLOGY LICENCES 18.3.23-17.3.24
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Recycling - Bag & Box,CUMBRIA WASTE RECYCLING LTD,CUM022,16/05/2023,209173,7585.36,CERT BS12 22/23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Recycling - Bag & Box,CUMBRIA WASTE RECYCLING LTD,CUM022,16/05/2023,209175,33177.97,CERT GB12 22/23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,16/05/2023,209229,2625.06,bizhub 1.4.23-30.6.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Corporate Services Manager,Corporate Services,Rent,ALSTON TOWN HALL TRUSTEES,ALS003,16/05/2023,209408,2583.35,RENTAL LOCAL LINKS JAN FEB MAR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Chief Executive's,Civic Duties,Hospitality,THE BAKEHOUSE,BAK011,16/05/2023,209925,643.75,LUNCH FOR 70
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Arts and Leisure,Grants and contributions,GREYSTOKE & DISTRICT SPORTS ASSOCIATION,GRE020,16/05/2023,209953,1559.00,RURAL POOL GRANT 2023
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,IT Contracts & Maintenance,IT PROFESSIONAL SERVICES LTD,ITP001,16/05/2023,209954,7875.00,AGREEMENT 015 DATA CIRCUIT
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Planned Maintenance,DYNAMIC JOINERY LTD,DYN004,16/05/2023,209960,1680.00,DECORATE TAXI OFFICE
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Management,Professional expenses,BAKER MALLETT LLP,BAK010,16/05/2023,209963,1006.50,PLAN/PROCESS/FEES NR29
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Management,Professional expenses,BAKER MALLETT LLP,BAK010,16/05/2023,209964,3850.00,PROJECT MANAGER APR23 NR 28
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Bank-Refurbishment,URBASER LIMITED,URB002,16/05/2023,209097,4536.21,CERT SC114
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,IT Contracts & Maintenance,THE NETWORKING PEOPLE (NORTHWEST) LIMITED,TNP001,16/05/2023,209118,1625.00,TNP PRO SERVICE DAYS FEB/MAR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Services,Agency Staff,OYSTER PARTNERSHIP,OYS001,16/05/2023,209181,925.00,TIME SHEET WC 3.4.23 AA
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Services,Agency Staff,OYSTER PARTNERSHIP,OYS001,16/05/2023,209182,925.00,TIME SHEET WC 03.4.23 BO
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Water Sampling,Professional fees,UNITED UTILITIES WATER PLC,UNI024,16/05/2023,209219,2292.24,INCOME LABS MAR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Window cleaning,URBASER LIMITED,URB002,16/05/2023,209231,13751.40,BCC MAR 23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,16/05/2023,209841,10137.66,TIME SHEETS FROM 16.1.23-19.2.23 SF
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Mobile telephone,VODAFONE BUSINESS SOLUTIONS,VOD002,16/05/2023,209932,4929.49,131 MOBILES CALLS
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Legal Services,Professional fees,TIAA LTD,TIA001,16/05/2023,209935,5000.00,22/23 FINANCIAL GOVERNANCE
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Water charges – metered,WATER PLUS,UNI008,16/05/2023,209942,846.38,mh 2.4.23-1.5.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Elections,Postages,ROYAL MAIL NW,ROY001,16/05/2023,209945,1025.71,business mail advanced
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,16/05/2023,209957,1126.33,TIME SHEET 10.4.23-16.4.23 SF
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,16/05/2023,209958,1761.83,TIME SHEET 17.4.23-23.4.23 SF
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,16/05/2023,209966,2769.33,TIME SHEET 20.2.23-26.2.23 SF
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Commercial Services,Agency Staff,VIVID RESOURCING,VIV001,16/05/2023,209840,1600.00,TIME SHEET WE 31.03.23 ND
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,C W COX & SONS (KENDAL)  LTD,COX001,16/05/2023,209170,8012.00,FIN PAYMENT GRANT REF 220077
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,TOP NOTCH CONTRACTORS LTD,TOP003,16/05/2023,209922,8898.00,GRANTREF 220055 FINAL PAYMENT
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Mechanical & electrical maintenance,TESGL LTD,NOB001,16/05/2023,209969,655.00,MAINTENANCE TH AND MH
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,BRITISH GAS TRADING LIMITED,BRI005,22/05/2023,209973,713.46,CORNEY SQUARE 1.4.23-02.05.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Electricity,OPUS ENERGY,OPU001,22/05/2023,209974,631.02,APLEBY GOODS SHED 11.4.23-10.05.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Electricity,OPUS ENERGY,OPU001,22/05/2023,209975,652.31,APPLEBY GOODS SHED 11.3.23-10.04.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Eden Leisure Centre & Appleby Swimming P,Additional covid costs provision,GREENWICH LEISURE LTD,NCL001,22/05/2023,210023,96058.27,COVID RELIEF PAYMENT AS PER 19.8.22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Pollution Control,Equipment – maintenance,ACOUSTIC CALIBRATION LABORATORY,ACO002,22/05/2023,209054,946.00,equipment calibration
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Software – maintenance,PENTEST PEOPLE LTD,PEN088,26/05/2023,209921,9750.00,ITHC 2023
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,26/05/2023,209971,3358.33,TIME SHEET 24.4.23-07.5.23 SF
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Gas,SEFE ENERGY,GAZ001,26/05/2023,210045,1623.67,MH APR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Gas,SEFE ENERGY,GAZ001,26/05/2023,210046,2285.77,TH APR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Corporate Costs,Professional fees,MAZARS LLP,MAZ001,26/05/2023,210022,8080.00,H/B SUBSIDY HBAP 21-22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Legal Services,Professional fees,FREETHS LLP,FRE006,26/05/2023,209959,1874.00,FAC1 FRAMEWORK FEES
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Supplies general,CUMBRIA WASTE RECYCLING LTD,CUM022,26/05/2023,210039,2231.00,RECHARGE VEHICLE LIVERY REBRANDING
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Legal Services,Professional fees,FREETHS LLP,FRE006,26/05/2023,210058,962.50,pro fees hug2 granting %dsa
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Management,Professional expenses,MBSP CONSULTANCY LTD,MBS001,26/05/2023,210060,7800.00,VOREDA HOUSE/ SINGLE SITE APRIL23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Appleby Fair,Street Cleaning Contract,URBASER LIMITED,URB002,26/05/2023,210061,20206.07,CERT M-SC131FEB23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Appleby Fair,Street Cleaning Contract,URBASER LIMITED,URB002,26/05/2023,210062,20206.07,CERT M-SC 132 MAR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,IT Contracts & Maintenance,MLL TELECOM LTD,MLL001,26/05/2023,210063,1274.75,MANSION HOUSE 1.4.23-30.6.23
