Cost Centre,Account,Expense Type,Supplier ID,Supplier Name,Trans No.,Payment Date,Amount excl. vat
UKSPF,31572,Consultants,20997,Oxford Innovation Services Ltd,7046185,45299,37603.12
UKSPF,31572,Consultants,20997,Oxford Innovation Services Ltd,7046281,45302,19969.2
UKSPF,31767,Events / Exhibitions,21020,The Midlands Business Network,7046721,45320,645
Head of Health & Communities,31767,Events / Exhibitions,21031,Iron House Ventures,7046243,45306,650
Environment,31767,Events / Exhibitions,21031,Iron House Ventures,7046609,45313,600
Commonwealth Games Legacy Fund,31770,Marketing,21036,Studio Seventy Seven,7046393,45313,1105
Head of Finance & Business Planning,31571,External Advice,21040,Birmingham Analytics,7046029,45299,8047.5
Metro Programme Director,60054,Investigations and Surveys,21055,Hydrock Consultants Ltd,7046314,45322,1250
Commonwealth Games Legacy Fund,31571,External Advice,21065,Enterprise Nation,7046392,45306,32910
Commonwealth Games Legacy Fund,31571,External Advice,21065,Enterprise Nation,7046768,45320,18395
Delivery Director - Sustainable Transport,60054,Investigations and Surveys,21075,Hambleton Risk Management Limited,7046356,45306,20732.39
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045904,45299,562.5
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045906,45299,1362.5
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045907,45299,2362.5
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7046939,45322,1399.61
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7046940,45322,1442.97
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7046941,45322,1737.45
Head of Systems Change & Inclusion,31571,External Advice,21082,VAAB Enterprises Limited T/A Unfound Studio,7046818,45322,675
Head of Systems Change & Inclusion,31571,External Advice,21082,VAAB Enterprises Limited T/A Unfound Studio,7046949,45322,675
DBT Growth Hub,31572,Consultants,21087,RE PARKER CONSULTING,7046041,45302,1488.7
DBT Growth Hub,31572,Consultants,21087,RE PARKER CONSULTING,7046180,45302,1488.7
Commonwealth Games Legacy Fund,31571,External Advice,21090,Locality,7046405,45306,16690
Head of Finance & Business Planning,30112,Learning & Development,21091,Hull College,7046620,45313,541.67
Head of Health & Communities,31774,Promotional Literature,21094,Infogr8 limited,7046659,45316,9280
Head of Health & Communities,31771,Stakeholder Engagement,21097,The William Wilson Turner Foundation (CIO),7046575,45313,1470.83
Head of Governance,30112,Learning & Development,21099,Governance Training and Consultancy Ltd,7046063,45299,995
UKSPF,31767,Events / Exhibitions,21106,The Sign Life ltd,7045964,45302,750
Metro Programme Director,60140,Compensation Claims,21119,Balle Limited T/A Subway,7046971,45322,49232
Thrive at Work,31577,Professional Advice,21176,The Wellbeing Project Limited,7046965,45322,27700
Mayoral Events,31767,Events / Exhibitions,21182,UK Bodyguards Security,7046775,45322,2632
Head of Operational Assets - Bus Infrastructure,30755,EPI Maintenance,5006,VIX ACIS Ltd,7046298,45306,22319.43
Head of IT Delivery,31608,Software Maintenance,5011,Unit 4 Business Software Limited,7045908,45293,173451.94
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8014739,45314,850194.42
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8014740,45314,29368.46
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40604,45313,484456.26
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40605,45313,161424.24
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,3004154,45293,302809.55
Concessions Schemes,32430,Child Travel Pass Concession,5055,Diamond Bus Ltd,40607,45313,6551.63
Bromsgrove Rail Station,31602,Telephone - Land Line,5070,British Telecommunications plc,3004151,45295,602.06
Bromsgrove Rail Station,31602,Telephone - Land Line,5070,British Telecommunications plc,3004221,45313,602.06
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7045897,45295,2900.37
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7046900,45322,6800
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7046901,45322,4067.5
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7046902,45322,3940
Head of Operational Assets - Bus Infrastructure,60395,Physical Construction,5077,Bus Shelters Ltd,7044976,45313,4185.68
Head of Operational Assets - Bus Infrastructure,60395,Physical Construction,5077,Bus Shelters Ltd,7044977,45313,4185.68
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045893,45295,4104.91
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045894,45295,3830.42
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045898,45295,3533.38
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045911,45295,3927.66
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045912,45295,3941.66
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045913,45295,3463.75
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045914,45295,3336.06
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045915,45295,3927.66
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045916,45295,3927.66
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045917,45295,3927.66
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045918,45295,3955.66
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045919,45295,4165.66
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045920,45295,3985.06
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045921,45295,3823.92
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7046886,45322,3987.62
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7046887,45322,5255.08
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7046888,45322,3816.42
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7046889,45322,3830.89
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7046890,45322,4356.48
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7046891,45322,5160.98
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7046892,45322,4912.06
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7046893,45322,3782.42
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7046894,45322,3841.62
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7046895,45322,4280.85
Head of Bus,31671,Revenue Contributions to Third Parties,5134,Community Transport Birmingham,3004132,45295,5392.79
Director of Strategic Partnerships and Integration,30010,Secondee Costs,5147,Coventry City Council,7045554,45295,12783
Director of Strategic Partnerships and Integration,30010,Secondee Costs,5147,Coventry City Council,7046332,45313,4261
Homelessness,31671,Revenue Contributions to Third Parties,5147,Coventry City Council,7046773,45320,15000
Adult Education,32751,Provider Delivery Fees - Grant,5147,Coventry City Council,8014739,45314,440697.33
Adult Education,32751,Provider Delivery Fees - Grant,5147,Coventry City Council,8014740,45314,3292.12
Head of Network Transformation,60002,Local Authority Staff Costs,5147,Coventry City Council,7046120,45299,5486.4
Head of Network Transformation,60002,Local Authority Staff Costs,5147,Coventry City Council,7046215,45302,6604
Director of Network Resilience,60561,Contributions to 3rd Parties,5147,Coventry City Council,3004239,45316,150741.04
Head of Finance & Business Planning,30008,Agency Staff ( Established Posts),5229,Hays Specialist Recruitment,3004138,45295,1700.75
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004138,45295,869.06
Director of Midlands Connect,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004138,45295,2257.16
"Executive Director of Strategy, Integration and Ne",30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004138,45295,2652.75
Head of IT Delivery,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004138,45295,4620.4
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004138,45295,13859.35
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004138,45295,14819.15
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004138,45295,4242.55
Metro Programme Director,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004188,45295,7127.2
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004188,45295,869.08
Director of Midlands Connect,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004188,45295,1128.58
"Executive Director of Strategy, Integration and Ne",30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004188,45295,2072.47
Head of IT Delivery,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004188,45295,4620.4
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004188,45295,6772.8
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004188,45295,15013.76
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004188,45295,3450.53
Director of Midlands Connect,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004189,45295,1128.58
"Executive Director of Strategy, Integration and Ne",30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004189,45295,828.98
Head of IT Delivery,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004189,45295,4620.4
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004189,45295,3654.7
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004189,45295,9189.97
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004218,45313,869.08
Head of IT Delivery,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004218,45313,997.78
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004218,45313,7653.5
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004218,45313,7058.24
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004218,45313,2262.65
Programme Support and Assurance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004218,45313,5102.25
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004220,45313,714.32
Director of Midlands Connect,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004220,45313,2032.99
Commonwealth Games Legacy Fund,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004220,45313,1906.67
Head of IT Delivery,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004220,45313,4546.7
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004220,45313,3798.39
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004220,45313,9522.2
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004220,45313,4779.96
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004263,45320,869.08
Commonwealth Games Legacy Fund,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004263,45320,2901.45
Head of IT Delivery,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004263,45320,4620.4
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004263,45320,7370
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004263,45320,14111.3
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004263,45320,3846.54
Metro Programme Director,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004264,45320,7483.56
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004264,45320,869.08
Director of Midlands Connect,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004264,45320,1128.58
Commonwealth Games Legacy Fund,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004264,45320,2486.96
Head of IT Delivery,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004264,45320,4620.4
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004264,45320,2551.15
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004264,45320,16075.2
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004264,45320,3846.49
Leadership,30115,Staff Recruitment Costs,5229,Hays Specialist Recruitment,7046228,45306,1750
16 Summer Lane FM,30501,Fire Prevention & Safety,5331,Trios Facilities Management limited,7046539,45313,993.6
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045382,45295,704.4
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045511,45295,1212.51
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045621,45295,609.39
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045732,45295,513.38
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7046158,45299,1471.73
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7046170,45299,1009.58
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7046210,45313,825.31
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7046388,45306,13194.19
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7046653,45316,591.43
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7046664,45316,596
16 Summer Lane FM,30502,Routine Maintenance,5331,Trios Facilities Management limited,7046785,45320,4224.41
16 Summer Lane FM,30502,Routine Maintenance,5331,Trios Facilities Management limited,7046814,45322,5036.88
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7046815,45320,13194.19
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7046816,45320,1695.95
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7046847,45322,695
Head of Operational Assets - Bus Stations,30751,Window & Door Maintenance,5331,Trios Facilities Management limited,7046169,45302,578.53
Head of Operational Assets - Bus Stations,30751,Window & Door Maintenance,5331,Trios Facilities Management limited,7046408,45313,3234
Head of Operational Assets - Rail Car Parks,30751,Window & Door Maintenance,5331,Trios Facilities Management limited,7046656,45316,701
16 Summer Lane FM,30751,Window & Door Maintenance,5331,Trios Facilities Management limited,7046785,45320,501.54
16 Summer Lane FM,30752,Lift Maintenance,5331,Trios Facilities Management limited,7046070,45302,1489.25
Head of Operational Assets - Bus Stations,30756,Maintenance of Lighting,5331,Trios Facilities Management limited,7045381,45295,1315.97
Head of Operational Assets - Bus Stations,30756,Maintenance of Lighting,5331,Trios Facilities Management limited,7046591,45316,671.83
Head of Operational Assets - Bus Stations,30756,Maintenance of Lighting,5331,Trios Facilities Management limited,7046652,45322,745.55
Head of Operational Assets - Bus Stations,60395,Physical Construction,5331,Trios Facilities Management limited,7046399,45306,1380
Tendered Bus Services,32425,Subsidised Services,5337,Stagecoach,40604,45313,233249.44
Tendered Bus Services,32425,Subsidised Services,5337,Stagecoach,40605,45313,76589.02
Tendered Bus Services,32425,Subsidised Services,5337,Stagecoach,40606,45313,12180
Metro Programme Director,60050,Feasibility Studies,5349,SYSTRA Ltd,7046821,45322,83230
Metro Programme Director,60050,Feasibility Studies,5349,SYSTRA Ltd,7046822,45322,6697
Mayoral Election Costs,31571,External Advice,5433,Royal Mail Group Ltd,7013542,45316,311064.54
Director of Communications,31767,Events / Exhibitions,5441,Sandwell MBC,7046846,45322,5000
Adult Education,32751,Provider Delivery Fees - Grant,5441,Sandwell MBC,8014739,45314,110833.33
Head of Operational Assets - Bus Stations,30721,Water Charges,5467,Source For Business,7045853,45295,611.27
"Director of Policy, Strategy & Innovation",31571,External Advice,5476,Steer,7046617,45313,43188.75
"Director of Policy, Strategy & Innovation",31571,External Advice,5476,Steer,7046618,45313,16220
Head of IT Delivery,31602,Telephone - Land Line,5493,Virgin Media Business,7046581,45316,582.1
Head of IT Delivery,31602,Telephone - Land Line,5493,Virgin Media Business,7046933,45322,582.1
Tendered Bus Services,32425,Subsidised Services,5533,Travel West Midlands,40604,45313,309327.38
Tendered Bus Services,32425,Subsidised Services,5533,Travel West Midlands,40605,45313,105733.13
Tendered Bus Services,32425,Subsidised Services,5533,Travel West Midlands,40606,45313,2000
Tendered Bus Services,32425,Subsidised Services,5550,Walsall Community Transport,40604,45313,36993.24
Tendered Bus Services,32425,Subsidised Services,5550,Walsall Community Transport,40605,45313,12331.08
Tendered Bus Services,32425,Subsidised Services,5550,Walsall Community Transport,3004157,45293,3529.7
Director of Network Resilience,31571,External Advice,5556,West Midlands Police,7046367,45306,9676.97
Tendered Bus Services,32425,Subsidised Services,5558,West Midlands Travel Ltd,3004155,45293,5556325.8
Head of Network Transformation,60561,Contributions to 3rd Parties,5558,West Midlands Travel Ltd,3004169,45293,907511.24
Delivery Director - Sustainable Transport,60561,Contributions to 3rd Parties,5572,Wolverhampton City Council,3004278,45322,49701.89
Head of Governance,31573,Legal Fees,5600,Sundry Creditors,3004259,45320,5500
Mayoral Events,31767,Events / Exhibitions,5600,Sundry Creditors,3004168,45293,4504
Inclusion,31774,Promotional Literature,5600,Sundry Creditors,3004214,45306,2000
Metro Programme Director,60140,Compensation Claims,5600,Sundry Creditors,3004137,45295,19610
Metro Programme Director,60143,Insurance,5600,Sundry Creditors,3004203,45316,1950
Head of Operational Assets - Bus Infrastructure,60630,Land Acquisition,5600,Sundry Creditors,3004167,45293,6500000
Metro Programme Director,60393,Early Contractor Involvement,5603,Birmingham City Council,7037410,45295,61952
Delivery Director - Metro,31571,External Advice,5695,Mott MacDonald,7045672,45302,1432.86
Director of Midlands Connect,31571,External Advice,5695,Mott MacDonald,7045778,45320,34351.9
Director of Midlands Connect,31571,External Advice,5695,Mott MacDonald,7046312,45302,1500
Director of Midlands Connect,31571,External Advice,5695,Mott MacDonald,7046313,45302,4402.84
Director of Strategic Partnerships and Integration,31571,External Advice,5695,Mott MacDonald,7046650,45316,4747
Metro Programme Director,60001,Project Support Costs,5695,Mott MacDonald,7045976,45299,8903.04
Metro Programme Director,60001,Project Support Costs,5695,Mott MacDonald,7045977,45299,10297.76
Metro Programme Director,60633,Tram Purchase Payments,5695,Mott MacDonald,7046668,45316,7818.1
Concessions Schemes,32433,Other Concessions ( Metro & Rail ),5858,Chiltern Railways,3004184,45295,3714.26
Concessions Schemes,32433,Other Concessions ( Metro & Rail ),5858,Chiltern Railways,3004274,45322,3714.2
Mayoral Events,31770,Marketing,6151,Aurora Graphics and Displays,7046573,45313,720
Director of Network Resilience,60343,Site Office Costs,6151,Aurora Graphics and Displays,7046536,45313,1129
Metro Programme Director,60111,Land Advice,6275,Winckworth Sherwood,7045758,45299,1014
Director of Network Resilience,30008,Agency Staff ( Established Posts),6316,AECOM Limited,7046268,45306,15669.5
Delivery Director - Sustainable Transport,60191,Design Works,6316,AECOM Limited,7046309,45306,14003.34
Delivery Director - Sustainable Transport,60191,Design Works,6316,AECOM Limited,7046310,45306,24203.81
Delivery Director - Sustainable Transport,60191,Design Works,6316,AECOM Limited,7046311,45306,7580.46
Delivery Director - Sustainable Transport,60191,Design Works,6316,AECOM Limited,7046598,45313,44978.54
Metro Programme Director,60111,Land Advice,6355,Bruton Knowles (Mgt Fees),7045310,45295,2766.5
Metro Programme Director,60111,Land Advice,6355,Bruton Knowles (Mgt Fees),7046250,45322,2873
Metro Programme Director,60111,Land Advice,6355,Bruton Knowles (Mgt Fees),7046251,45316,2008.75
Tendered Bus Services,32425,Subsidised Services,6434,Landflight Travel Services Ltd,40604,45313,70361.94
Tendered Bus Services,32425,Subsidised Services,6434,Landflight Travel Services Ltd,40605,45313,23453.98
Concessions Schemes,32430,Child Travel Pass Concession,6434,Landflight Travel Services Ltd,40607,45313,906.95
Head of Bus,60191,Design Works,6800,Atkins Transport Planning,7045035,45302,8955.3
Head of Bus,60191,Design Works,6800,Atkins Transport Planning,7045986,45295,11940.4
Director of Midlands Connect,31571,External Advice,6821,Network Rail,7046067,45299,11939.45
Investment Programme Financing,60560,Network Rail Costs,6821,Network Rail,7046017,45295,66599.34
Director of Development & Delivery,60560,Network Rail Costs,6821,Network Rail,7046766,45320,1918.35
Head of IT Delivery,31603,IT Hardware,6867,Probrand Limited,7046441,45313,725.7
Events & Stakeholder,31767,Events / Exhibitions,6973,West Midlands Growth Company Limited,7046952,45322,3000
Adult Education,32751,Provider Delivery Fees - Grant,7007,City of Wolverhampton College,8014739,45314,1208459.16
Adult Education,32751,Provider Delivery Fees - Grant,7007,City of Wolverhampton College,8014740,45314,37946.69
Director of Housing & Regeneration,30601,Electricity,7068,EDF Energy Customers Limited,7046986,45322,2349.39
Director of Network Resilience,60343,Site Office Costs,7096,Grantcf,7046424,45306,6977
Metro Programme Director,60395,Physical Construction,7127,Total Integrated Solutions Ltd,7045023,45295,4340.64
Metro Programme Director,60395,Physical Construction,7127,Total Integrated Solutions Ltd,7045785,45316,2159.4
Director of Network Resilience,60638,CCTV Supply and Installation,7127,Total Integrated Solutions Ltd,7045009,45316,40721.93
Director of Network Resilience,60638,CCTV Supply and Installation,7127,Total Integrated Solutions Ltd,7045729,45316,123473.68
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7046010,45295,1744.47
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7046012,45295,1820
